Title,Named-entity,Frequency
Angela Merkel,2021,26
Angela Merkel,germany,117
Angela Merkel,2019,9
Angela Merkel,christian,9
Angela Merkel,1blankname,1
Angela Merkel,1949,2
Angela Merkel,1namedata,1
Angela Merkel,1,14
Angela Merkel,2,10
Angela Merkel,3,6
Angela Merkel,4,5
Angela Merkel,5,8
Angela Merkel,6,8
Angela Merkel,schr,11
Angela Merkel,olaf,3
Angela Merkel,christian democratic union,11
Angela Merkel,1blankname1,1
Angela Merkel,1namedata1,1
Angela Merkel,6 peter,1
Angela Merkel,7,11
Angela Merkel,sec,1
Angela Merkel,6 norbert,1
Angela Merkel,laschet 8,1
Angela Merkel,10 april 2000,3
Angela Merkel,kramp karrenbauer,9
Angela Merkel,september 2002,1
Angela Merkel,end3,1
Angela Merkel,cdu csu cdu,1
Angela Merkel,1blankname5,1
Angela Merkel,1namedata5,1
Angela Merkel,1blankname4,1
Angela Merkel,1namedata4,1
Angela Merkel,michael glos term,1
Angela Merkel,successor5,1
Angela Merkel,1991 2000,1
Angela Merkel,1px,1
Angela Merkel,christian democratic union germany,8
Angela Merkel,november 1998,1
Angela Merkel,polenz office7,1
Angela Merkel,1blankname7,1
Angela Merkel,1namedata7,1
Angela Merkel,june 1993,2
Angela Merkel,20 2000,1
Angela Merkel,helmut kohl,4
Angela Merkel,1994,3
Angela Merkel,26 october 1998,1
Angela Merkel,18 january 1991,1
Angela Merkel,office11,1
Angela Merkel,german,166
Angela Merkel,start11 20 december 1990,1
Angela Merkel,successor11 anna,1
Angela Merkel,1990 2002,1
Angela Merkel,nordvorpommern r gen,1
Angela Merkel,2002 2013,1
Angela Merkel,dorothea kasner,1
Angela Merkel,age 1954 7,1
Angela Merkel,hamburg,11
Angela Merkel,1990,9
Angela Merkel,ubli christian democratic union,1
Angela Merkel,east germany,23
Angela Merkel,democratic,2
Angela Merkel,1989 1990,1
Angela Merkel,kupfergraben berlin,1
Angela Merkel,1977,1
Angela Merkel,1982,3
Angela Merkel,1998,5
Angela Merkel,ref cite journal url https,1
Angela Merkel,20181129184354,1
Angela Merkel,year 1986,1
Angela Merkel,thesis title untersuchung des,1
Angela Merkel,von zerfallsreaktionen,2
Angela Merkel,auf,2
Angela Merkel,ipa de ela o te m,1
Angela Merkel,kl lang de angela,1
Angela Merkel,english,14
Angela Merkel,k l,1
Angela Merkel,american,6
Angela Merkel,british,4
Angela Merkel,recommendation ref https,1
Angela Merkel,7 april 2019,3
Angela Merkel,ref,17
Angela Merkel,ipa de m kl ref,1
Angela Merkel,max mangold,1
Angela Merkel,max title duden aussprachew rterbuch,2
Angela Merkel,6th year 1995,2
Angela Merkel,501 501,1
Angela Merkel,501,1
Angela Merkel,krech eva maria,1
Angela Merkel,christian title deutsche aussprachew rterbuch,1
Angela Merkel,1st,3
Angela Merkel,walter de,1
Angela Merkel,gruyter year 2009,1
Angela Merkel,978,4
Angela Merkel,739,1
Angela Merkel,kl display,1
Angela Merkel,de ela ipa de e la ref,1
Angela Merkel,139,3
Angela Merkel,la url https archive org detail,1
Angela Merkel,second,17
