Title,Named-entity,Frequency
Barack Obama,obama https en wikipedia,1
Barack Obama,44th,4
Barack Obama,united states,103
Barack Obama,2009 2017,2
Barack Obama,american,64
Barack Obama,september 2020,1
Barack Obama,obama jpg,1
Barack Obama,2012,38
Barack Obama,joe biden,14
Barack Obama,january 20 2009,4
Barack Obama,january 20,2
Barack Obama,george w bush,10
Barack Obama,donald trump jr,1
Barack Obama,illinois term start1,1
Barack Obama,november 16 2008,2
Barack Obama,roland burris,1
Barack Obama,illinois,44
Barack Obama,13th,3
Barack Obama,january 8 1997,1
Barack Obama,end2,1
Barack Obama,november 4 2004,1
Barack Obama,barack hussein obama ii,1
Barack Obama,age 1961 8,1
Barack Obama,michelle obama michelle robinson,2
Barack Obama,malia obama malia sasha,1
Barack Obama,obama sr ann dunham,1
Barack Obama,washington,20
Barack Obama,punahou school alma mater,1
Barack Obama,art ba harvard law school harvard university,1
Barack Obama,https barackobama,1
Barack Obama,white house,27
Barack Obama,hoo sayn,1
Barack Obama,august 4 1961,3
Barack Obama,2009,165
Barack Obama,2017,41
Barack Obama,democratic party united states democratic party,1
Barack Obama,obama african american,1
Barack Obama,ref firstblackprez,2
Barack Obama,u s,32
Barack Obama,illinois 2005,1
Barack Obama,2008,30
Barack Obama,1997 2004,2
Barack Obama,african american,12
Barack Obama,q2,1
Barack Obama,obama bear honolulu,1
Barack Obama,hawaii graduate columbia,1
Barack Obama,1983,2
Barack Obama,1988,5
Barack Obama,harvard law school black,1
Barack Obama,1992 2004,1
Barack Obama,senate,59
Barack Obama,1997 2004 2004,1
Barack Obama,u s senate obama receive national attention,1
Barack Obama,2004,14
Barack Obama,senate primary,1
Barack Obama,july 2004,2
Barack Obama,november,2
Barack Obama,2008 year,1
Barack Obama,hillary clinton,6
Barack Obama,democratic party,6
Barack Obama,republican party united states,1
Barack Obama,republican,9
Barack Obama,john mccain,3
Barack Obama,january 20 2009 month later,1
Barack Obama,year,18
Barack Obama,don,12
Barack Obama,2010,65
Barack Obama,2011,26
Barack Obama,u s troop,8
Barack Obama,afghanistan,20
Barack Obama,2001,3
Barack Obama,russia,15
Barack Obama,2007,110
Barack Obama,iraq war,1
Barack Obama,anwar al,1
Barack Obama,al qaeda,3
Barack Obama,libya,22
Barack Obama,united nations security council,3
Barack Obama,1973,3
Barack Obama,un security council,1
Barack Obama,muammar gaddafi,2
Barack Obama,osama bin laden,22
Barack Obama,second,10
Barack Obama,january 20 2013,1
Barack Obama,supreme court,13
Barack Obama,united states supreme court,2
Barack Obama,2015,20
Barack Obama,obergefell,1
Barack Obama,politic united states,2
Barack Obama,iraq,43
Barack Obama,2014,18
Barack Obama,syrian,7
Barack Obama,syria,16
Barack Obama,islamic,6
Barack Obama,paris,3
Barack Obama,kunduz hospital airstrike,1
Barack Obama,2016,22
Barack Obama,russian,10
Barack Obama,cuban,8
Barack Obama,u s relation,1
Barack Obama,cuba,15
Barack Obama,obama supreme court,1
Barack Obama,sonia sotomayor,1
Barack Obama,kagan,1
Barack Obama,merrick garland merrick garland,1
Barack Obama,obama leave office,2
