Title,Named-entity,Frequency
Bill Gates,bill gate,3
Bill Gates,https en wikipedia,1
Bill Gates,american,35
Bill Gates,1955,3
Bill Gates,march 2020,2
Bill Gates,article american close association british realm image,1
Bill Gates,2017,19
Bill Gates,jpg,1
Bill Gates,william henry,2
Bill Gates,age 1955,1
Bill Gates,washington u s,1
Bill Gates,microsoft,40
Bill Gates,bill melinda,34
Bill Gates,harvard university,1
Bill Gates,1972,1
Bill Gates,microsoft ref redmond,1
Bill Gates,microsoft board,2
Bill Gates,melinda,6
Bill Gates,january 1 1994,2
Bill Gates,3,5
Bill Gates,mary maxwell,4
Bill Gates,2016,11
Bill Gates,william h,3
Bill Gates,october 28,1
Bill Gates,1994,16
Bill Gates,11,3
Bill Gates,5,5
Bill Gates,https www britannica,1
Bill Gates,20130328082612,1
Bill Gates,226865,1
Bill Gates,2013,13
Bill Gates,2014,14
Bill Gates,mary jo date,1
Bill Gates,1 3 percent,2
Bill Gates,26 2021,1
Bill Gates,1980,2
Bill Gates,washington,14
Bill Gates,1975,1
Bill Gates,microsoft albuquerque,1
Bill Gates,ref cnn,1
Bill Gates,cnn,8
Bill Gates,august 22 2014,1
Bill Gates,20140820064251,1
Bill Gates,20 2014,1
Bill Gates,u s securities exchange commission,1
Bill Gates,4,10
Bill Gates,ref,14
Bill Gates,20111019112613,1
Bill Gates,20160408230653,1
Bill Gates,january 2000,1
Bill Gates,steve ballmer,5
Bill Gates,2000 01,2
Bill Gates,13 mu7,1
Bill Gates,david einstein,1
Bill Gates,20160126145821,1
Bill Gates,13 mu7 html,1
Bill Gates,late 1990,1
Bill Gates,1a1,1
Bill Gates,1y,1
Bill Gates,2a1,1
Bill Gates,2y,1
Bill Gates,melinda gate,1
Bill Gates,2000,6
Bill Gates,2006 06,2
Bill Gates,15,7
Bill Gates,htm iid el,1
Bill Gates,20160130104313,1
Bill Gates,htm iid el archive,1
Bill Gates,february 2014,1
Bill Gates,satya nadella ref,2
Bill Gates,2,8
Bill Gates,2020,27
Bill Gates,microsoft board url https www cnbc,1
Bill Gates,microsoft board html,1
Bill Gates,cnbc,8
Bill Gates,1987,4
Bill Gates,310818,1
Bill Gates,putin isn,1
Bill Gates,20171020091119,1
Bill Gates,310818 archive,1
Bill Gates,2010,10
Bill Gates,20 2010 archive,1
Bill Gates,20120719063548,1
Bill Gates,october 2017,1
Bill Gates,90 6 nbsp billion,1
Bill Gates,89 9 nbsp billion,1
Bill Gates,27,6
Bill Gates,20180311082026,1
Bill Gates,2018,16
Bill Gates,april 2022,1
Bill Gates,132 nbsp billion,1
Bill Gates,fourth,3
Bill Gates,ref bloomberg,1
Bill Gates,william h gate,4
Bill Gates,bloomberg,4
Bill Gates,april 8 2022,1
Bill Gates,august 15 2017,2
Bill Gates,london,4
