Title,Named-entity,Frequency
Brad Pitt,brad pitt https en wikipedia,1
Brad Pitt,american,20
Brad Pitt,july 2020,1
Brad Pitt,2019,10
Brad Pitt,francis jpg,1
Brad Pitt,william bradley,2
Brad Pitt,age 1963,1
Brad Pitt,u s alma mater university,1
Brad Pitt,missouri,10
Brad Pitt,1987,7
Brad Pitt,2000 2005,1
Brad Pitt,angelina,37
Brad Pitt,2014 2019,1
Brad Pitt,guardian20210723,2
Brad Pitt,date july,1
Brad Pitt,angelina jolie court,1
Brad Pitt,brad pitt,7
Brad Pitt,2021,4
Brad Pitt,jolie brad pitt,3
Brad Pitt,25 2021,1
Brad Pitt,april 2019,1
Brad Pitt,6,1
Brad Pitt,douglas pitt,2
Brad Pitt,18 1963,2
Brad Pitt,academy award british academy film award,1
Brad Pitt,second,10
Brad Pitt,second british academy,1
Brad Pitt,louise 1991,1
Brad Pitt,1992,3
Brad Pitt,fall 1994,4
Brad Pitt,1994,5
Brad Pitt,seven 1995,3
Brad Pitt,12,6
Brad Pitt,1995,8
Brad Pitt,1999,4
Brad Pitt,2007,46
Brad Pitt,2001,9
Brad Pitt,2005,8
Brad Pitt,world war,12
Brad Pitt,globe award academy,1
Brad Pitt,pitt s academy,1
Brad Pitt,2008 moneyball,1
Brad Pitt,2006 12 year,1
Brad Pitt,12 year,6
Brad Pitt,2013,11
Brad Pitt,2011 moneyball,1
Brad Pitt,2011,5
Brad Pitt,jolie pitt,13
Brad Pitt,jolie adopt,1
Brad Pitt,william alvin,1
Brad Pitt,stephanie title business brad url https,1
Brad Pitt,2008,9
Brad Pitt,sydney morning,1
Brad Pitt,13,3
Brad Pitt,20090603061437,2
Brad Pitt,douglas mitchell,1
Brad Pitt,1966,1
Brad Pitt,1969,1
Brad Pitt,ref slip cite magazine,1
Brad Pitt,chris mundy,1
Brad Pitt,1 1994,1
Brad Pitt,christian household ref blair2019,1
Brad Pitt,christian,3
Brad Pitt,20191004010333,1
Brad Pitt,october 4 2019,1
Brad Pitt,6894885,1
Brad Pitt,6 2012 date july,1
Brad Pitt,20120707195733,1
Brad Pitt,2bmother 2bbashes,1
Brad Pitt,284635,2
Brad Pitt,hollywood,26
Brad Pitt,february 7 2014 date january,1
Brad Pitt,20140215082436,1
Brad Pitt,october 2019,2
Brad Pitt,13 2020 date september,2
Brad Pitt,20200409071612,1
Brad Pitt,april 9 2020,1
Brad Pitt,jesse james,5
Brad Pitt,2012,4
Brad Pitt,september 19 2011,1
Brad Pitt,rennie dyball archive url https,1
Brad Pitt,20111211133929,1
Brad Pitt,11 2006,1
Brad Pitt,october 30 2008,3
Brad Pitt,1982,1
Brad Pitt,9441989,5
Brad Pitt,20111004005938,1
Brad Pitt,october 9 2018,1
Brad Pitt,ref,8
Brad Pitt,50120,2
Brad Pitt,august 28 2014 date september,1
Brad Pitt,20140906114921,1
Brad Pitt,tom junod,1
Brad Pitt,0613,2
Brad Pitt,august 28 2014,2
Brad Pitt,20 2013 archive,1
Brad Pitt,20140906114320,1
Brad Pitt,los angeles,12
Brad Pitt,gary oldman,1
Brad Pitt,mickey rourke early,1
Brad Pitt,mtv,22
Brad Pitt,uk,10
Brad Pitt,january 23 2009,1
Brad Pitt,ireland,1
Brad Pitt,mtv uk access date,1
Brad Pitt,20180109032703,1
Brad Pitt,1987 1993,1
Brad Pitt,london,2
Brad Pitt,tim,1
Brad Pitt,20081030023332,1
Brad Pitt,zero,1
Brad Pitt,rar7s,2
Brad Pitt,20130601095002,1
Brad Pitt,nbc soap opera world tv,1
Brad Pitt,20120213170128,1
Brad Pitt,february 13 2012,1
Brad Pitt,10 2012 ref,1
Brad Pitt,november year,1
Brad Pitt,cbs,1
Brad Pitt,1980,1
Brad Pitt,9781476623849,1
Brad Pitt,16 2016,1
Brad Pitt,20201227040910,1
Brad Pitt,70szdaaaqbaj,1
Brad Pitt,150,3
Brad Pitt,year 2016,1
Brad Pitt,abc,1
Brad Pitt,1,7
Brad Pitt,2009,37
Brad Pitt,17 2009,1
Brad Pitt,1978,1
Brad Pitt,dallas,2
Brad Pitt,december 1987 february 1988,1
Brad Pitt,charlie wade,1
Brad Pitt,ref scotland cite news,1
Brad Pitt,scotlandonsunday,2
Brad Pitt,4535381,2
Brad Pitt,sunday,1
Brad Pitt,26,6
Brad Pitt,20110916001720,1
Brad Pitt,16 2011,2
Brad Pitt,later 1988,1
Brad Pitt,21,2
Brad Pitt,jump street ref persico cite news,1
Brad Pitt,joyce,1
Brad Pitt,yugoslavian u s,1
Brad Pitt,1988,1
Brad Pitt,1997,5
Brad Pitt,1989,2
Brad Pitt,american film,1
Brad Pitt,pitt s film reach theater ref bio,1
Brad Pitt,freddy s,1
Brad Pitt,catalano1995,1
Brad Pitt,31,5
Brad Pitt,31 31,1
Brad Pitt,billy canton,1
Brad Pitt,juliette lewis,3
Brad Pitt,1990,2
Brad Pitt,nbc television,1
Brad Pitt,weekly,7
Brad Pitt,february 23 1990,1
Brad Pitt,20150316190415,1
Brad Pitt,hbo,1
Brad Pitt,1991,4
Brad Pitt,739,2
Brad Pitt,20081216143414,1
Brad Pitt,new york,17
Brad Pitt,scott s,1
Brad Pitt,russell smith,1
Brad Pitt,article 315705,2
Brad Pitt,october 19 1993,1
Brad Pitt,davis,1
Brad Pitt,susan sarandon,1
Brad Pitt,louise pitt,2
Brad Pitt,4 2017 archive,2
Brad Pitt,20170504142719,1
Brad Pitt,2017,30
Brad Pitt,13 2004,2
Brad Pitt,bbc news access,7
Brad Pitt,20110406123623,1
Brad Pitt,bbc,8
Brad Pitt,johnny suede low,1
Brad Pitt,star ref cite news,1
Brad Pitt,las cruce sun news ref,1
Brad Pitt,1040378,2
Brad Pitt,2010,14
Brad Pitt,20100228201816,1
Brad Pitt,robert redford ref,1
Brad Pitt,cnn,37
Brad Pitt,9811 13,2
Brad Pitt,november 13 1998,3
Brad Pitt,november 15 2008,4
Brad Pitt,20090425062814,1
Brad Pitt,april 25 2009,3
Brad Pitt,20110809103647,1
Brad Pitt,august 9 2011,1
Brad Pitt,1838607,2
Brad Pitt,jeff giles,1
Brad Pitt,1 archive,5
Brad Pitt,20140906113956,1
Brad Pitt,nbsp s weird,1
Brad Pitt,1993,1
Brad Pitt,kalifornia,3
Brad Pitt,19930903,2
Brad Pitt,20110628214517,1
Brad Pitt,1838607 2,2
Brad Pitt,2 archive,3
Brad Pitt,20100213112113,1
Brad Pitt,february 13 2010,1
Brad Pitt,national association theatre,2
Brad Pitt,tomorrow,1
Brad Pitt,august 18 2008,1
Brad Pitt,20080517060340,1
Brad Pitt,17 2008 ref,1
Brad Pitt,1998,4
Brad Pitt,jpg thumb,6
Brad Pitt,losang,1
Brad Pitt,seven year tibet 1997,2
Brad Pitt,seven year tibet,1
Brad Pitt,anne rice,1
Brad Pitt,1976,1
Brad Pitt,11 138413,1
Brad Pitt,november 11 1994,1
Brad Pitt,austin,1
Brad Pitt,20110629192316,1
Brad Pitt,tom cruise,1
Brad Pitt,antonio banderas ref austin,1
Brad Pitt,69ttoe9ho,1
Brad Pitt,1994 11,2
Brad Pitt,matt zoller,1
Brad Pitt,november 10 1994,1
Brad Pitt,20141227223848,1
Brad Pitt,27 2014,1
Brad Pitt,bbc film,1
Brad Pitt,14 2000,1
Brad Pitt,bbc online,1
Brad Pitt,bbc movie access,1
Brad Pitt,20081216072343,1
Brad Pitt,jim harrison,1
Brad Pitt,west decade,1
Brad Pitt,twentieth century,1
Brad Pitt,william ludlow,1
Brad Pitt,anthony hopkin,5
Brad Pitt,pa204 title,1
Brad Pitt,congress,1
Brad Pitt,26 27 july 2007,1
Brad Pitt,28464,2
Brad Pitt,16 2008,2
Brad Pitt,20110811021752,1
Brad Pitt,henry thomas,1
Brad Pitt,pitt s,2
Brad Pitt,film s,1
Brad Pitt,fall 1995,1
Brad Pitt,date january 13 1995,1
Brad Pitt,20100818225157,1
Brad Pitt,august 18 2010,2
Brad Pitt,janet maslin,3
Brad Pitt,december 23 1994,1
Brad Pitt,20120117202807,1
Brad Pitt,january 17 1995,1
Brad Pitt,20091206034903,1
Brad Pitt,morgan freeman gwyneth,1
Brad Pitt,kevin spacey,1
Brad Pitt,seven,13
Brad Pitt,990ce1d81f3af931a1575ac0a963958260 date september 22 1995,1
Brad Pitt,20120206143415,1
Brad Pitt,jamie portman,1
Brad Pitt,september 16 1995,1
Brad Pitt,hamilton,1
Brad Pitt,7,1
Brad Pitt,ref express,1
Brad Pitt,ref cite news,3
Brad Pitt,cindy,1
Brad Pitt,chicago sun times,3
Brad Pitt,date january 1 1995,1
Brad Pitt,20090815174232,1
Brad Pitt,327 nbsp million,1
Brad Pitt,international box office ref,2
Brad Pitt,jeffrey goines,1
Brad Pitt,terry gilliam s 1995,1
Brad Pitt,janet maslin new york,1
Brad Pitt,jeffrey,1
Brad Pitt,9d03e7df1239f934a15751c1a963958260,2
Brad Pitt,janet maslin title film,1
Brad Pitt,new york times,2
Brad Pitt,20120206143359,1
Brad Pitt,pdf 81aa,2
