Title,Named-entity,Frequency
Ed Sheeran,ed sheeran,261
Ed Sheeran,https en wikipedia,1
Ed Sheeran,english,17
Ed Sheeran,british,31
Ed Sheeran,april 2022,3
Ed Sheeran,jpg,1
Ed Sheeran,2018,23
Ed Sheeran,edward christopher,2
Ed Sheeran,sheeran,208
Ed Sheeran,thomas mill,2
Ed Sheeran,2004,3
Ed Sheeran,2019,11
Ed Sheeran,1,31
Ed Sheeran,taylor,29
Ed Sheeran,steve mac justin,1
Ed Sheeran,yelawolf,1
Ed Sheeran,anne marie elton,1
Ed Sheeran,john edward christopher,1
Ed Sheeran,100,21
Ed Sheeran,17 february 1991,2
Ed Sheeran,bear halifax,2
Ed Sheeran,framlingham suffolk,1
Ed Sheeran,age early 2011,1
Ed Sheeran,5,8
Ed Sheeran,september 2011,1
Ed Sheeran,uk,55
Ed Sheeran,2012,9
Ed Sheeran,second,20
Ed Sheeran,june 2014,5
Ed Sheeran,2015 year,1
Ed Sheeran,2015,27
Ed Sheeran,year 2015,1
Ed Sheeran,songwriter year,4
Ed Sheeran,2016 grammy,1
Ed Sheeran,march 2017,5
Ed Sheeran,2017,51
Ed Sheeran,castle hill break,1
Ed Sheeran,10 week march 2017,1
Ed Sheeran,10,9
Ed Sheeran,fourth,11
Ed Sheeran,australia,6
Ed Sheeran,one,2
Ed Sheeran,2019 fourth,1
Ed Sheeran,6,10
Ed Sheeran,justin,4
Ed Sheeran,song don,3
Ed Sheeran,london,23
Ed Sheeran,fifth,8
Ed Sheeran,2021,12
Ed Sheeran,150 million,2
Ed Sheeran,article 69646f57 7973 55cd,1
Ed Sheeran,lincoln journal,1
Ed Sheeran,25 march 2019,1
Ed Sheeran,february 2022,6
Ed Sheeran,84 5 million,1
Ed Sheeran,29,2
Ed Sheeran,united kingdom,6
Ed Sheeran,december 2019,2
Ed Sheeran,2010s ref decade,2
Ed Sheeran,50732153,1
Ed Sheeran,bbc ref,6
Ed Sheeran,decade,2
Ed Sheeran,decade ref decade,1
Ed Sheeran,august 2019,4
Ed Sheeran,yesterday 2019,1
Ed Sheeran,yesterday,7
Ed Sheeran,01,1
Ed Sheeran,castle hill ref,1
Ed Sheeran,hill ed,2
Ed Sheeran,1600101,1
Ed Sheeran,january 2017 date 9,1
Ed Sheeran,january 2017,10
Ed Sheeran,west yorkshire,1
Ed Sheeran,jon o brien,1
Ed Sheeran,1 7001208,2
Ed Sheeran,hebden bridge times access,1
Ed Sheeran,16 march 2017,2
Ed Sheeran,20170317143550,1
Ed Sheeran,hebden bridge ref earlyhome,1
Ed Sheeran,february 2019,1
Ed Sheeran,lesley jackson,1
Ed Sheeran,22,6
Ed Sheeran,february 2016,1
Ed Sheeran,early childhood year,1
Ed Sheeran,december 1995,1
Ed Sheeran,hebden bridge,1
Ed Sheeran,sean,1
Ed Sheeran,date 2019,1
Ed Sheeran,ref ref,2
Ed Sheeran,november 2015,36
Ed Sheeran,united kingdom preparatory school,1
Ed Sheeran,uk article ed sheeran,2
Ed Sheeran,february 2017,4
Ed Sheeran,british gq ref ref,1
Ed Sheeran,20170124172421166,1
Ed Sheeran,20200814111116,1
Ed Sheeran,14,5
Ed Sheeran,august 2020,6
Ed Sheeran,ref,10
Ed Sheeran,thomas mills high school framlingham ref,1
Ed Sheeran,8679492,2
Ed Sheeran,daily,9
Ed Sheeran,june 2013,10
Ed Sheeran,ref ref intro,1
Ed Sheeran,bbc suffolk,1
Ed Sheeran,april 2008 ref old,1
Ed Sheeran,ed andrea,1
Ed Sheeran,8097573 matt,1
Ed Sheeran,andrea bocelli,2
Ed Sheeran,john imogen,1
Ed Sheeran,athurs day,2
Ed Sheeran,arthur s,1
Ed Sheeran,20170802044151,1
Ed Sheeran,1 6,4
Ed Sheeran,irish,11
Ed Sheeran,26779193,1
Ed Sheeran,june 2011,1
Ed Sheeran,irish catholic catholic,1
Ed Sheeran,2013,5
Ed Sheeran,roman tyler,1
Ed Sheeran,august 2013,1
Ed Sheeran,uk news framlingham,1
Ed Sheeran,844578,1
Ed Sheeran,east anglian,1
Ed Sheeran,1990 2010,1
Ed Sheeran,20 2014,1
Ed Sheeran,20170317074414,1
Ed Sheeran,thomas mills high school framlingham,1
Ed Sheeran,49398768,1
Ed Sheeran,bbc,12
Ed Sheeran,couple month,3
Ed Sheeran,124,1
Ed Sheeran,20140225022922,1
Ed Sheeran,february 2014,3
Ed Sheeran,2007,2
Ed Sheeran,ref https,2
Ed Sheeran,26,16
Ed Sheeran,20130130160724,1
Ed Sheeran,7,1
Ed Sheeran,20151003105903,1
Ed Sheeran,gordon burn,1
Ed Sheeran,uk s film tv,2
Ed Sheeran,682724,2
Ed Sheeran,manchester evening,1
Ed Sheeran,february 2012,3
Ed Sheeran,20141028040821,1
Ed Sheeran,october 2014,2
Ed Sheeran,krypton,1
Ed Sheeran,2004 2010,1
Ed Sheeran,12,5
Ed Sheeran,jpg thumb,9
Ed Sheeran,160px sheeran,1
Ed Sheeran,july 2010,1
Ed Sheeran,20,10
Ed Sheeran,19,8
Ed Sheeran,13,8
Ed Sheeran,38,1
Ed Sheeran,15,5
Ed Sheeran,mike rosenberg,1
Ed Sheeran,k mike,1
Ed Sheeran,september 2014,4
Ed Sheeran,itv series britannia high ref cite news,1
Ed Sheeran,evening,2
Ed Sheeran,1 2039807,1
Ed Sheeran,january 2012,3
Ed Sheeran,23 2012,1
Ed Sheeran,nizlopi,1
Ed Sheeran,april 2008,1
Ed Sheeran,autumn 2009,1
Ed Sheeran,age 18 ref,1
Ed Sheeran,november 2016,1
Ed Sheeran,jack ref cite news,1
Ed Sheeran,200k,2
Ed Sheeran,22900266,1
Ed Sheeran,november 2012,3
Ed Sheeran,2009,2
Ed Sheeran,ceelo green s,1
Ed Sheeran,ceelo,1
Ed Sheeran,february 2010,1
Ed Sheeran,edward rapper example,1
Ed Sheeran,31,2
Ed Sheeran,31 12547675,1
Ed Sheeran,2010,4
Ed Sheeran,03 12,1
Ed Sheeran,november 2014,8
Ed Sheeran,john ref,1
Ed Sheeran,14718488,1
Ed Sheeran,st pancras railway,1
Ed Sheeran,st pancras international,1
Ed Sheeran,june 2010,2
Ed Sheeran,1 4200070,1
Ed Sheeran,van evra,1
Ed Sheeran,jennifer ref,1
Ed Sheeran,103760926340944,1
Ed Sheeran,10th june 2010,1
Ed Sheeran,7345585,1
Ed Sheeran,sheeran s song harry,1
Ed Sheeran,los angeles,4
Ed Sheeran,jamie foxx,1
