Title,Named-entity,Frequency
George R. R. Martin,american,26
George R. R. Martin,april 2020,1
George R. R. Martin,george r r,1
George R. R. Martin,martin,37
George R. R. Martin,75,1
George R. R. Martin,martin jpg caption martin,1
George R. R. Martin,2017,16
George R. R. Martin,george raymond,3
George R. R. Martin,george martin biography martin,1
George R. R. Martin,age 1948 09 20,1
George R. R. Martin,jersey u s,1
George R. R. Martin,1975 1979,1
George R. R. Martin,february 15 2011,2
George R. R. Martin,thousand,2
George R. R. Martin,richard martin ref,1
George R. R. Martin,september 20 1948,2
George R. R. Martin,american novelist screenwriter television,1
George R. R. Martin,hbo,13
George R. R. Martin,2011 2019,2
George R. R. Martin,2022,8
George R. R. Martin,2005,3
George R. R. Martin,martin american,2
George R. R. Martin,tolkien ref time,1
George R. R. Martin,html,2
George R. R. Martin,american tolkien magazine time,1
George R. R. Martin,20081229125934,1
George R. R. Martin,article 0,1
George R. R. Martin,august 2 2014 ref 2011,1
George R. R. Martin,annual,4
George R. R. Martin,100,4
George R. R. Martin,2066129,1
George R. R. Martin,2011,14
George R. R. Martin,john hodgman,3
George R. R. Martin,20110422055300,1
George R. R. Martin,april 22 2011,1
George R. R. Martin,george raymond martin,1
George R. R. Martin,13 year old,1
George R. R. Martin,ref,8
George R. R. Martin,weekly date september,1
George R. R. Martin,1277 1278,1
George R. R. Martin,36,1
George R. R. Martin,bayonne new jersey ref,1
George R. R. Martin,february 27 2012,1
George R. R. Martin,longshoreman raymond,1
George R. R. Martin,martin margaret,1
George R. R. Martin,martin mother s family,1
George R. R. Martin,185s,1
George R. R. Martin,irish,5
George R. R. Martin,0410,1
George R. R. Martin,20041019140503,1
George R. R. Martin,french,4
George R. R. Martin,english,5
George R. R. Martin,german,3
George R. R. Martin,root ref,1
George R. R. Martin,498526,2
George R. R. Martin,martin george r r date,1
George R. R. Martin,20160911122422,1
George R. R. Martin,2016,9
George R. R. Martin,quarter,1
George R. R. Martin,italian,3
George R. R. Martin,approximately quarter,1
George R. R. Martin,martin discover s quarter,2
George R. R. Martin,jewish,2
George R. R. Martin,martin s great,1
George R. R. Martin,1953,1
George R. R. Martin,bayonne dock ref,1
George R. R. Martin,martin s childhood,1
George R. R. Martin,fifth,5
George R. R. Martin,martin title,2
George R. R. Martin,2013,5
George R. R. Martin,monthly,1
George R. R. Martin,february 18,1
George R. R. Martin,ref martin,8
George R. R. Martin,2019,10
George R. R. Martin,mary jane donohoe school,1
George R. R. Martin,ref cite news,3
George R. R. Martin,qa george r r,1
George R. R. Martin,martin title garden state,1
George R. R. Martin,62 year old,1
George R. R. Martin,stan lee,2
George R. R. Martin,shakespeare tolkien ref,1
George R. R. Martin,20140826,1
