Title,Named-entity,Frequency
Germany,germany,213
Germany,https en wikipedia,1
Germany,europe,64
Germany,british,3
Germany,august 2013,1
Germany,december 2020,2
Germany,51,3
Germany,federal republic germany,7
Germany,1952 1990,1
Germany,1991,14
Germany,node html,3
Germany,20160307221541,1
Germany,march 2016,2
Germany,4em,1
Germany,german,236
Germany,eu germany,1
Germany,1,20
Germany,european union,11
Germany,250px,1
Germany,berlin,13
Germany,bonn,4
Germany,de title german,1
Germany,20200430004825,1
Germany,23,7
Germany,danish language,1
Germany,danish,2
Germany,sorbian language,1
Germany,sorbian,1
Germany,frisian language,3
Germany,frisian,3
Germany,european,37
Germany,2018,27
Germany,congress,3
Germany,jenny title protection,1
Germany,20200525092638,1
Germany,2020,13
Germany,ref,13
Germany,name1,1
Germany,olaf scholz,1
Germany,18 january 1871,1
Germany,event2,1
Germany,november 1918,2
Germany,23 march 1933,1
Germany,1945 1990,2
Germany,west east,1
Germany,west germany,12
Germany,british american,1
Germany,french,6
Germany,1949,6
Germany,east germany,12
Germany,democratic republic,3
Germany,soviet,10
Germany,7 october 1949,1
Germany,3 october 1990,2
Germany,cia,10
Germany,63rd area,1
Germany,137 847,1
Germany,2015,6
Germany,october 2020,1
Germany,20210324133453,1
Germany,83,1
Germany,556,1
Germany,2018pop,2
Germany,18th,1
Germany,232,1
Germany,601,1
Germany,58th,1
Germany,4 743 trillion,1
Germany,2021 april,2
Germany,134,2
Germany,pppgdp ngdpdpc,2
Germany,0,10
Germany,april 2021,2
Germany,20210412070027,1
Germany,5th,1
Germany,2021,6
Germany,56 956,1
Germany,15th,2
Germany,4 319 trillion,1
Germany,4th,1
Germany,year 2021,1
Germany,29,10
Germany,year 2019,1
Germany,ref ref eurogini,1
Germany,web url https ec,1
Germany,20201009091832,1
Germany,ec,10
Germany,0 947,1
Germany,hdi year 2019,1
Germany,united nations development programme,1
Germany,20201215100725,1
Germany,6th,2
Germany,2,12
Germany,49,2
Germany,today,3
Germany,ipa de d,1
Germany,lang de bundesrepublik deutschland,1
Germany,year 2005,6
Germany,978 3 411,1
Germany,max,7
Germany,271,1
Germany,second,12
Germany,russia,11
Germany,baltic sea,3
Germany,north sea,4
Germany,357022,2
Germany,83 million,1
Germany,16,6
Germany,poland,5
Germany,czech,2
Germany,austria,3
Germany,switzerland,3
Germany,south france,1
Germany,luxembourg,4
Germany,belgium,3
Germany,frankfurt,14
Germany,germania,2
Germany,100 10th century,1
Germany,16th century,1
Germany,northern german,1
Germany,1806,2
Germany,1815,3
Germany,kingdom prussia prussia n dominate,1
Germany,world war german revolution,1
Germany,1918 1919,2
Germany,1933,3
Germany,world war ii,4
Germany,world war,6
Germany,democratic republic east germany,1
Germany,republic germany,2
Germany,communist,4
Germany,eastern bloc,2
Germany,warsaw,2
Germany,east german,10
Germany,day 3 october 1990,1
Germany,fourth,8
Germany,fifth,2
Germany,united nations,3
Germany,nato,8
Germany,english,4
Germany,latin lang,1
Germany,4,3
Germany,harvard university,1
Germany,year 1998,5
Germany,978,8
Germany,674,1
Germany,4 4,1
Germany,dutch,1
Germany,english dutch,1
Germany,lang goh diota,1
Germany,latin,1
Germany,proto germanic lang,1
Germany,eud eud descend proto,1
Germany,albert l last2 l hr,1
Germany,978 3 525,1
Germany,699,1
Germany,704 language,1
Germany,20150911012455,1
Germany,albert l title,1
Germany,525,1
Germany,685,1
Germany,686,1
Germany,20150916000730,1
Germany,11 million year ago,1
Germany,11 million year old,2
Germany,2019,23
Germany,600,3
Germany,000 year ago,1
Germany,ref cite journal,2
Germany,last7,1
Germany,garcia,1
Germany,national academy science united states,1
Germany,america,2
Germany,107,1
Germany,46,2
Germany,19726 19730,1
Germany,2010pnas 10719726w,1
Germany,10 1073 pnas,1
Germany,1012722107,1
Germany,neandertal valley,1
Germany,uk,16
Germany,20200330003649,1
Germany,42 000 year old,1
Germany,18196349,2
Germany,25 2012,1
Germany,bbc news,4
Germany,20170903041534,1
Germany,2017,18
Germany,000 year old,1
Germany,lion man lion,1
Germany,28595,2
