Title,Named-entity,Frequency
Google,https en wikipedia,1
Google,american,5
Google,english date july 2018,1
Google,2015,5
Google,250px,1
Google,googleplex google inc,1
Google,1998 2017,1
Google,age 1998 09 04,1
Google,september 4 1998 2002,1
Google,anniversary day september frequently september 27,1
Google,ref cite magazine,1
Google,september 4 2014,1
Google,3250807,1
Google,september 27 2019,1
Google,uk,12
Google,27,11
Google,20220110,1
Google,daily,3
Google,ref ref,3
Google,doodle url https,1
Google,05,7
Google,california,25
Google,menlo park,1
Google,united states,7
Google,larry page,3
Google,1600,2
Google,thomas kurian,1
Google,raghavan senior,1
Google,stanford,10
Google,prabhakar raghavan,2
Google,11 2021,1
Google,alphabet inc website url https,1
Google,16 2015,2
Google,20150116073513,1
Google,2018,46
Google,hubert chang,2
Google,20110628231125,1
Google,2017,122
Google,20130930200600,1
Google,september 30,1
Google,0,3
Google,20080520,1
Google,jpg thumb,7
Google,eric schmidt,6
Google,quantum compute e commerce,1
Google,bbc news url,3
Google,42060091,1
Google,03 29,3
Google,musk s ai,1
Google,11837566,1
Google,20,13
Google,title justice department sue,1
Google,pr justice department sue,1
Google,cnn,28
Google,2244411,1
Google,amazon apple inc apple meta,1
Google,september 4 1998,1
Google,student stanford university,1
Google,14,5
Google,56,1
Google,2004 2015,1
Google,alphabet inc alphabet inc google,2
Google,alphabet s,3
Google,alphabet,3
Google,december 3 2019,1
Google,alphabet ref,2
Google,alphabet sundar,1
Google,2019 12,2
Google,alphabet html,1
Google,cnbc,5
Google,android,12
Google,chris,1
Google,16 2013 archive,1
Google,20130316085610,1
Google,16 2013,1
Google,17 2013,1
Google,17,13
Google,20180518055717,1
Google,uk url https,1
Google,0978,1
Google,quantum compute,1
Google,second,7
Google,ref fourth interbrand ref,1
Google,alphabet inc,3
Google,early year,1
Google,2003,2
Google,january 1996,1
Google,student stanford university california ref howwestarte,1
Google,today,6
Google,20200422134018,1
Google,april 22 2020,1
Google,april 24 2021,1
Google,year 2013,1
Google,4 edition 1st,1
Google,new york,14
Google,18,10
Google,2011039480,1
Google,20120401005940,1
Google,scott hassan,4
Google,20190704184309,1
Google,august 23 2019,1
Google,ref ref cite magazine mchugh,1
Google,january 1 2003,1
Google,2003 01,2
Google,20190602064540,1
Google,hassan,2
Google,2006,11
Google,september 5 2014,1
Google,september 1 2019,1
Google,20190824075356,1
Google,august 24 2019,1
Google,jillian,2
Google,20190824075346,1
Google,2016 2,1
Google,2019,11
Google,november 11 1999,1
Google,pagerank,1
Google,8090 422,2
Google,20091118014915,1
Google,november 18 2009,1
Google,stanford university ref call algorithm pagerank,1
Google,20100210175913,1
Google,website google inc ref ref,2
Google,larry,2
Google,august 18 1997,1
Google,20020506051802,1
Google,cgi bin wp sidl,1
Google,1997,2
Google,6 2002,1
Google,november 27 2010,7
Google,hassan begin write,1
Google,backrub,1
Google,august 2005,1
Google,4,4
Google,19961224105215,1
Google,alan steremberg,1
Google,terry winograd,1
Google,1998,12
Google,molina jeff,1
Google,robin li 1996,1
Google,page s pagerank patent,1
Google,li s,1
Google,chinese,3
Google,659xsblcf,1
Google,20151015185034,1
Google,ref howwestarte ref,1
Google,january 2004,2
Google,68ubhzys7,2
Google,stanford university ref ref cite news,2
Google,february 12 2003,2
Google,2003 02,4
Google,12,11
Google,20100327141327,1
Google,10 sup 100,1
Google,zero,3
Google,19990221202430,1
Google,october 12 2010,2
Google,website google inc ref file google1998,1
Google,15,7
Google,marissa mayer,2
Google,alan williamson ref,1
Google,https whois,1
Google,20160314084453,1
Google,2016,12
Google,whois ref company,1
Google,september 4,1
Google,susan wojcicki ref milestone,1
Google,craig silverstein,4
Google,ref milestone ref,1
Google,craig silverstein s,1
Google,19991002122809,1
Google,september 7 2008,1
Google,san francisco,7
Google,august 1998,1
Google,100 000 andy bechtolsheim,1
Google,sept 7 1998,1
Google,google inc google inc magazine,1
Google,2007,23
Google,ref ref bechtolsheim cite news,1
Google,april 29 2004,1
Google,2786378,1
Google,20090919030812,1
Google,bin article,1
Google,2fmngld6cfnd34 dtl archive date september,1
Google,2009,17
Google,david cheriton,1
Google,entrepreneur ram shriram,1
Google,year 2010,2
Google,978,1
Google,515456623,1
Google,september 7 1998 day,1
Google,250 000,1
Google,1 000 000,1
Google,ref google inc cite,1
Google,william l last2 hall,1
Google,google inc url,1
Google,20190220013941,1
Google,google inc archive,1
Google,17 2019,1
Google,britannica,1
Google,britannica ref,1
Google,1998 early 1999,1
Google,25 million,1
Google,june 7 1999,1
Google,ref cite press release title google,1
Google,25 nbsp million,1
Google,palo alto,2
Google,20010212052759,1
Google,march 1999,1
Google,date october 12 2015,1
Google,43,1
Google,2015 10,1
Google,20170819101107,1
Google,2015 10 archive,1
Google,axel,1
Google,ref home prominent silicon valley,1
Google,20170523115134,1
Google,23,4
Google,cbs interactive ref year,1
Google,xok3eiuw9vgc,1
Google,4165,1
Google,3 4,1
Google,14 2010,1
Google,20120401005413,1
Google,june 2000,1
Google,20190131040317,1
Google,02,1
Google,2000 06,2
Google,20190131041155,1
Google,jpg upright thumb,1
Google,102662167,1
Google,year 1999,1
Google,20100722083804,1
Google,ref sgibldg,1
Google,cbs,2
Google,3 1025111,1
Google,6bybyulmq,1
Google,zero year later,1
Google,319,1
Google,million,1
Google,16 2006,2
Google,building silicon graphics work,1
Google,american city business journals,1
Google,2006 06,2
Google,19,4
Google,20100418071152,1
Google,april 18 2010,1
Google,webster,3
Google,english,2
Google,30 2012,1
Google,february 17 2010,2
Google,13720643,2
Google,20060707062623,2
Google,msnbc,1
Google,october 2002,1
Google,27 2014,7
Google,2014 06,1
Google,373599,1
Google,2001,1
Google,google ref google inc initial,1
Google,august 19 2004,2
Google,20 year year 2024,1
Google,ref cite news lashinsky,1
Google,warner url,1
Google,6bybnofxm,1
Google,htm archive,3
Google,2012,6
Google,85,3
Google,1,5
Google,2004,3
Google,pdf,2
Google,659xubjtj,1
Google,february 19 2010,2
Google,website google inc location,1
Google,29,4
Google,morgan stanley credit suisse,1
Google,monica paul r date,3
Google,2,7
Google,2004 04,2
Google,6bybwcwiq,1
Google,135799,2
Google,659xv2yme,1
Google,ref,10
Google,1 67 billion,2
Google,23 billion,5
Google,cynthia l date,1
Google,washington post location,1
Google,washington,8
Google,37th,1
Google,g8,1
Google,037,1
Google,1 65 billion,2
Google,october 9 2006,1
Google,09,6
Google,20170316024815,1
Google,aol ref ref,2
Google,09cnd,1
Google,20170609080519,1
Google,new york times ref ref,2
Google,november 13 2006,1
Google,2006 11,2
Google,13,6
Google,20170316024500,1
Google,november 14 2006,1
Google,20170316113147,1
Google,reuters,13
Google,3 1 nbsp billion,1
Google,idusbfa00058020080311 ref ref,1
Google,3 1 billion,2
Google,20170404014741,1
Google,april 4 2017,5
Google,new york times ref,7
Google,2011,11
Google,11,4
Google,ref google inc 2011,1
Google,monthly,2
Google,tim,1
Google,22,6
Google,month,1
Google,wall street journal,10
Google,22656,1
Google,motorola,3
Google,12 5 nbsp billion,1
Google,22 2012,1
Google,agence france presse url https,1
Google,article 21957658,1
Google,motorola mobility ref ref cite news,1
Google,tsukayama hayley,1
Google,motorola mobility,3
Google,washington post url https,4
Google,20121113035358,1
Google,november 13 2012,1
Google,2011 0815,2
Google,20110817101741,1
Google,motorola s considerable,1
Google,motorola mobility url,1
Google,2011 08,1
Google,blog ref,2
Google,apple inc apple microsoft ref,1
Google,article 11,2
Google,20111210181127,1
Google,android ref cnet,1
Google,8301 1035,2
Google,5b,2
Google,20111006062539,1
Google,12 5b archive,1
Google,cnet news ref 2012,1
Google,june 2013,2
Google,966 million,4
Google,20170216011658,1
Google,cbs interactive ref,2
Google,1 1b,1
Google,2013,13
Google,20170706051802,1
Google,aol ref,5
Google,september 19 2013,1
Google,apple inc,1
Google,arthur d levinson,1
Google,arthur levinson,1
Google,24158924,2
Google,20130919201510,1
Google,london,23
Google,6 pancras square jpg thumb,1
Google,6 pancras square,1
Google,january 26 2014,1
Google,2014 01,2
Google,20140129142153,1
Google,29 2014,1
Google,400 million,2
Google,20140127042513,1
Google,ref ribeiro,1
Google,article 2091500,2
Google,20140130042946,1
Google,30 2014,1
Google,2014 1,2
Google,vox medium ref accord,1
Google,world apple inc 2013 ref,1
Google,20161022013506,1
Google,october 23,4
Google,2014,22
Google,20161103140119,1
Google,20161021100708,1
Google,133 billion,1
Google,20161220191226,1
Google,article 2015,4
Google,20161123054841,1
Google,bloomberg,3
Google,november 23 2016,2
Google,november 22 2016,6
Google,bloomberg l p ref ref cite news last1 barr,1
Google,1439240645,2
Google,november 22,1
Google,20161128112043,1
Google,2015 08 11,2
Google,alphabet restructure html,1
Google,20161019164806,1
Google,alphabet restructure,1
Google,new york times,4
Google,narendra,1
Google,new delhi,1
Google,december 17 2015 1 jpg,1
Google,india,5
Google,august 8 2017,3
Google,07,2
Google,august 7 2017,1
Google,20170809012140,1
Google,536181,2
Google,20170808230220,1
Google,august 9 2017,1
Google,2018 2019,1
Google,maven,2
Google,november 22 2019,1
Google,november 25 2019,1
Google,2019 11,1
Google,laurence berland union,1
Google,november 26 2019,1
Google,andy rubin,1
Google,48,2
Google,year,4
Google,18024486,2
Google,2 year,2
Google,20181031133020,1
Google,november 1 2018,2
Google,hamilton,1
Google,2018 11,2
Google,20181102174328,1
Google,november 6 2018,2
Google,lisa marie,1
Google,november 3 2018,1
Google,20 000,1
Google,03,7
Google,20181107013331,1
Google,november 7 2018,1
Google,michael date,1
Google,akron beacon journal,1
Google,ohio,1
Google,20181101,1
Google,june 3 2019,1
Google,united states department justice,1
Google,2019 06,1
Google,october 2020,3
Google,u s file,1
Google,npr org,2
Google,2020 10,3
Google,december 2019,1
Google,paypal s,1
Google,coo bill,2
Google,april 2020,1
Google,2020,45
Google,web date april 15 2020,1
Google,april 16 2020,1
Google,august,1
Google,november,1
Google,december,2
Google,resolve hour,1
Google,12052892,1
Google,sky news ref ref,1
Google,november 12 2020,1
Google,2020 11 11,1
Google,14 2020,2
Google,124,1
Google,20201214235555,1
Google,26ved,1
Google,26usg,1
Google,3d1,1
Google,2021,9
Google,january 2021,1
Google,australian,4
Google,australia,2
Google,article australia media google iduskbn29r04o,1
Google,20 million,1
Google,20 m,1
Google,03 01,1
Google,1 2021,1
Google,ten million dollar,1
Google,3 2022,1
Google,fortune language en ref,1
Google,april 2021,1
Google,wall street journal report,1
Google,web date,1
Google,april 11 2021,1
Google,texas,4
Google,11618097760,1
Google,april 13 2021,1
Google,wall street journal language,1
Google,september 28 2021,1
Google,28,6
Google,october 4 2021,6
Google,date july,2
Google,2008 07,2
Google,20170312042335,1
Google,november 2009,4
Google,65,1
Google,6,4
Google,20100225142724,1
Google,26,8
Google,23912,2
Google,20170527140309,1
Google,20170526215945,1
Google,2002,1
Google,macht joshua,1
