Title,Named-entity,Frequency
India,india,861
India,https en wikipedia,1
India,asia republic,1
India,30,7
India,indian,243
India,article indic,1
India,24,9
India,60px,1
India,gallop,1
India,0 2em,3
India,mana national,1
India,jana gana,4
India,1950,9
India,2005,8
India,jana gana mana italic,1
India,https india,2
India,124,3
India,mana compose originally bengali,1
India,january 1950,2
India,20170204121208,1
India,february 2017,2
India,jana gana mana url https,1
India,498576,2
India,june 2019,1
India,20190417194530,1
India,17 april 2019,1
India,2003,17
India,jana gana mana,1
India,ref times news network,1
India,ref nonentl ref press,1
India,new delhi,6
India,28 36 50 n,1
India,delhi metropolitan,1
India,hlist,1
India,hindi indian,1
India,english,16
India,xvii,1
India,hindi hindi,1
India,devanagari,1
India,1960,4
India,20130830064815,1
India,ref state union,1
India,hindi english,1
India,https rajbhasha,2
India,17,16
India,18 april 2021,3
India,20210418112326,1
India,eighth,2
India,ref langoff,1
India,nclm nic,1
India,50th,1
India,july 2012 june 2013,1
India,26,24
India,december 2014,2
India,20160708012438,1
India,july 2016,3
India,assamese language assamese bengali language bengali boro language,1
India,gujarati,4
India,kannada,1
India,konkani language,1
India,konkani maithili language,1
India,manipuri,12
India,nepali language,1
India,nepali,1
India,santali language,1
India,santali sindhi language,1
India,447 language,1
India,461,1
India,6 912,1
India,447,1
India,gary f editor3,1
India,charles d,1
India,year 2014,5
India,world seventeenth edition india,1
India,dallas texas url https,1
India,15,10
India,20141217151950,1
India,seventeenth,1
India,17 december 2014,1
India,name1,1
India,lok sabha,4
India,united kingdom,4
India,august 1947,1
India,event2,1
India,3287260,1
India,3060500,1
India,united nations,7
India,3287263,2
India,2973190,1
India,7th,2
India,1 269 346 percent,1
India,9 6,1
India,un,13
India,2011,34
India,20160522213913,1
India,https www censusindia,1
India,2016,5
India,ref ref,2
India,2,29
India,202,3
India,pdf title 2,1
India,1901,1
India,20160430213141,1
India,ref population estimate,1
India,2nd,5
India,1,73
India,1269219,1
India,19th,1
India,11 745 trillion,1
India,ref,21
India,2022,3
India,534,2
India,s ngdp rpch,1
India,pppgdp ngdpdpc,1
India,2017,19
India,2027,1
India,0,14
India,april 2022,8
India,year 2022,2
India,3rd,3
India,128th,1
India,3 29 trillion,1
India,6th,1
India,2 342,1
India,144th,1
India,35,4
India,year 2011,7
India,gini ref ref,1
India,cia,4
India,10 july 2021,2
India,20210707032440,1
India,july 2021,1
India,world bank,1
India,https data worldbank,4
India,ref gini,1
India,hdi year 2019,1
India,pdf title human,1
India,2020,6
India,united nations development,1
India,december 2020,2
India,131,1
India,05,1
India,13,6
India,june 2020,2
India,india 91,1
India,79 8,1
India,14 2,1
India,islam,3
India,3,19
India,1 7,1
India,0 7,2
India,0 4,1
India,0 23,1
India,0 65,2
India,g united,1
India,today,11
India,pa76 year 2002,1
India,76,1
India,john da gra,1
India,year 2017,7
India,macmillan publishers macmillan,1
India,london,6
India,978 1 349,2
India,421,2
India,194,2
India,taylor francis,5
India,302,1
India,robert w title,1
India,atlas south asian,1
India,108,2
India,english republic,1
India,atlas world url https,1
India,140,1
India,webster s,1
India,pa515 year 1997,1
India,978,20
India,515 516,1
India,atlas world,1
India,3rd edition,1
India,year 2016,2
India,54,1
India,2013,3
India,726 india republic,1
India,south asia,17
India,seventh,1
India,second,26
India,south arabian sea,1
India,afghanistan,4
India,kashmir india,1
India,kashmir,15
India,pakistan,10
India,web title ministry home affairs department border management url https,1
India,nic,4
India,1011,2
India,20150317182910,1
India,china nepal bhutan north bangladesh myanmar east,1
India,thailand,2
India,indonesia,3
India,later 55 000 year ago,1
India,ref petragliaallchin harvnb petraglia,1
India,2007,35
India,european,6
India,dyson2018p1,1
India,2018,28
India,3trtdwaaqbaj,10
India,africa,1
India,60 000 80,1
India,000 year ago,3
India,north west indian,1
India,55 000 year ago,2
India,fisher2018p23,1
India,23,7
India,africa arabian peninsula,1
India,early 80 000 year ago late 40 000 year ago,1
India,persian gulf,1
India,75 000 year ago,1
India,dyson2018 28a,1
India,pa28,1
India,28,5
India,4 5,1
India,33,1
India,1200,6
India,lowe2015,1
India,year 2015,4
India,1 2,2
India,1 028,1
India,1500,7
India,4,21
India,michael,2
India,michael witzel,2
India,flood title blackwell,1
India,year 2008,4
India,john wiley,6
India,68 70,2
India,later eastern area,1
India,mitanni,1
India,northern syria,1
India,iraq,1
India,1450,1
India,1350,1
India,500,6
India,japanese,1
India,68,5
India,70,7
India,february 2014,8
India,10,8
India,1500 1000,1
India,sama,2
India,atharva veda p xviii,1
India,2014,20
India,19,9
India,south east,3
India,kin group,1
India,artharva br d harvnb,1
India,14 15,1
India,roughly time century later,1
India,north west,2
India,eastern iran,1
India,european language,1
India,century,2
India,46,3
India,stephanie w jamison last2 brereton,1
India,1ltrdwaaqbaj year 2020,1
India,2 4,1
India,4yt3dwaaqbaj,1
India,august 2020,1
India,textual,1
India,varna,1
India,michael axel,1
India,patrick,1
India,donald r davis,1
India,86 97,1
India,86,3
India,year 1996,1
India,dravidian,5
India,pa16,3
India,16,8
India,25,8
India,400,9
