Title,Named-entity,Frequency
Lionel Messi,lionel messi https en wikipedia,1
Lionel Messi,1987,2
Lionel Messi,british,1
Lionel Messi,messi image,1
Lionel Messi,20180626,1
Lionel Messi,jpg caption messi argentina national football team argentina 2018,1
Lionel Messi,world cup 2018,3
Lionel Messi,world cup,116
Lionel Messi,andr s messi ref,1
Lionel Messi,2018,53
Lionel Messi,russia,3
Lionel Messi,argentina,103
Lionel Messi,1 date 15,2
Lionel Messi,20190611000407,1
Lionel Messi,age 1987 6,1
Lionel Messi,july 2018,5
Lionel Messi,20180619164139,1
Lionel Messi,santa fe,2
Lionel Messi,messi title,2
Lionel Messi,messi,263
Lionel Messi,paris,23
Lionel Messi,april 2022,2
Lionel Messi,clubnumber,1
Lionel Messi,1992 1995,1
Lionel Messi,1995 2000,1
Lionel Messi,newell s old,7
Lionel Messi,2003 2004,1
Lionel Messi,22,18
Lionel Messi,6 years3 2004 2021,1
Lionel Messi,520,1
Lionel Messi,2021,43
Lionel Messi,4,22
Lionel Messi,2004 2005,1
Lionel Messi,20,21
Lionel Messi,18,15
Lionel Messi,23,17
Lionel Messi,argentina u23,2
Lionel Messi,5,20
Lionel Messi,argentina national football team argentina,1
Lionel Messi,160,1
Lionel Messi,messi 81,1
Lionel Messi,22 01 23 april 2022,1
Lionel Messi,03,2
Lionel Messi,2014,66
Lionel Messi,brazil,18
Lionel Messi,2007,31
Lionel Messi,2015,46
Lionel Messi,2016,22
Lionel Messi,united states,5
Lionel Messi,3rd 2019,1
Lionel Messi,2019,32
Lionel Messi,summer,6
Lionel Messi,2008 summer,4
Lionel Messi,2008,8
Lionel Messi,2005,10
Lionel Messi,south american,7
Lionel Messi,3rd 2005,1
Lionel Messi,american u 20 championship 2005,1
Lionel Messi,colombia,6
Lionel Messi,messi series,1
Lionel Messi,andr s messi,3
Lionel Messi,biography messi guillem,1
Lionel Messi,messi accordance,1
Lionel Messi,messi access date,3
Lionel Messi,2013,67
Lionel Messi,32,4
Lionel Messi,messi cuccittini ref,1
Lionel Messi,june 2014,6
Lionel Messi,2,28
Lionel Messi,pdf archive url,1
Lionel Messi,20140625085714,1
Lionel Messi,pdf,4
Lionel Messi,2017,44
Lionel Messi,messi s management company,1
Lionel Messi,andre messi cuccittini,1
Lionel Messi,72,1
Lionel Messi,border ref cite news,1
Lionel Messi,3255615,1
Lionel Messi,70k,1
Lionel Messi,24,7
Lionel Messi,june 1987,2
Lionel Messi,leo messi,18
Lionel Messi,french,4
Lionel Messi,argentina national football team argentina national team,2
Lionel Messi,14,21
Lionel Messi,seven,6
Lionel Messi,ballon d messi receive,1
Lionel Messi,france,6
Lionel Messi,2009,38
Lionel Messi,ballon d ref,2
Lionel Messi,january 2016,4
Lionel Messi,623615,1
Lionel Messi,messi lloyd luis,3
Lionel Messi,1,22
Lionel Messi,2015 2754944,2
Lionel Messi,20160202210654,1
Lionel Messi,european,32
Lionel Messi,2020,21
Lionel Messi,35,7
Lionel Messi,474,1
Lionel Messi,la liga scorer scorer,2
Lionel Messi,la liga european league,1
Lionel Messi,36,5
Lionel Messi,8,7
Lionel Messi,192,1
Lionel Messi,17,16
Lionel Messi,50,6
Lionel Messi,81,2
Lionel Messi,500,4
Lionel Messi,750,1
Lionel Messi,argentina messi,4
Lionel Messi,spain,20
Lionel Messi,barcelona,73
Lionel Messi,age 13,1
Lionel Messi,age 17 october 2004,1
Lionel Messi,season 2008 09,1
Lionel Messi,09,8
Lionel Messi,spanish football year,1
Lionel Messi,22 messi,1
Lionel Messi,ballon d win,1
Lionel Messi,1910623,1
Lionel Messi,16 2020 ref,1
Lionel Messi,12 season,1
Lionel Messi,score single season,1
Lionel Messi,second,76
Lionel Messi,messi ronaldo,5
Lionel Messi,2014 15,7
Lionel Messi,fifth,16
Lionel Messi,2015 messi,1
Lionel Messi,2018 2019,1
Lionel Messi,sixth,12
Lionel Messi,august 2021,6
Lionel Messi,argentina national football team goalscorer,1
Lionel Messi,diego maradona,9
Lionel Messi,maradona,11
Lionel Messi,august 2005,2
Lionel Messi,world cup 2006,4
Lionel Messi,squad s,1
Lionel Messi,august 2011,2
Lionel Messi,world cup award,4
Lionel Messi,seventh,6
Lionel Messi,2006,11
Lionel Messi,year 2009 2014,1
Lionel Messi,2019 messi,1
Lionel Messi,100,20
Lionel Messi,2011 2012,3
Lionel Messi,february 2020,4
Lionel Messi,sportsman year,2
Lionel Messi,later year,1
Lionel Messi,footballer second,1
Lionel Messi,1 billion,2
Lionel Messi,santa fe ref,1
Lionel Messi,4974,3
Lionel Messi,messi access,6
Lionel Messi,barcelona language es ref,1
Lionel Messi,jorge messi steel,1
Lionel Messi,celia cuccittini,1
Lionel Messi,italian,4
Lionel Messi,spanish,24
Lionel Messi,adriatic sea,1
Lionel Messi,italy,1
Lionel Messi,32 37,1
Lionel Messi,caioli 2012,10
Lionel Messi,10,27
Lionel Messi,messi magic,3
Lionel Messi,1928768,2
Lionel Messi,18 july 2015,10
Lionel Messi,july 2015,7
Lionel Messi,20150705210947,1
Lionel Messi,eleventh,1
Lionel Messi,44 45,1
Lionel Messi,chris maume,1
Lionel Messi,messi world,2
Lionel Messi,date 11 july 2014,1
Lionel Messi,9601215,1
Lionel Messi,25,13
Lionel Messi,adri n,1
Lionel Messi,12 year old,1
Lionel Messi,38,3
Lionel Messi,rosario club year old,1
Lionel Messi,newell s,4
Lionel Messi,87,4
Lionel Messi,half,4
Lionel Messi,thompson title,1
Lionel Messi,messi hometown argentina,1
Lionel Messi,31,3
Lionel Messi,age 10,1
Lionel Messi,1 000 month,1
Lionel Messi,leo messi la l gende,1
Lionel Messi,el enano,1
Lionel Messi,el enano newspaper,1
Lionel Messi,irish,2
Lionel Messi,26496103,1
Lionel Messi,air club club,1
Lionel Messi,tico river,3
Lionel Messi,1998 2002,1
Lionel Messi,messi mission,1
Lionel Messi,times subscription require,1
Lionel Messi,20 april 2008,1
Lionel Messi,uk,22
Lionel Messi,20080830020412,1
Lionel Messi,wilson,1
Lionel Messi,argentinian,2
Lionel Messi,maradona messi,2
Lionel Messi,16 july 2015,1
Lionel Messi,16,39
Lionel Messi,maradona argentina,1
Lionel Messi,age 35,1
Lionel Messi,brazilian,3
Lionel Messi,ronaldo messi call,1
Lionel Messi,messi brazil,2
Lionel Messi,ronaldo,8
Lionel Messi,ref file la masia planas,1
Lionel Messi,barcelona s youth academy la masia,1
Lionel Messi,age 13 messi,3
Lionel Messi,september 2000,1
Lionel Messi,age 14 december,1
Lionel Messi,napkin ref mission ref,1
Lionel Messi,lowe title,12
Lionel Messi,messi argentinian,1
Lionel Messi,october 2014,1
Lionel Messi,15,21
Lionel Messi,messi barcelona,28
Lionel Messi,february 2001,1
Lionel Messi,club s stadium,1
Lionel Messi,spain messi,2
Lionel Messi,ref ref serviette ref,1
Lionel Messi,new york,10
Lionel Messi,21 2011,1
Lionel Messi,2011,18
Lionel Messi,18 july 2015 ref year,1
Lionel Messi,barcelona s youth academy,1
Lionel Messi,masia messi,1
Lionel Messi,spanish football federation,3
Lionel Messi,february 2002,1
Lionel Messi,61,3
Lionel Messi,62,2
Lionel Messi,149,1
Lionel Messi,season 2002,1
Lionel Messi,30,13
Lionel Messi,pete jenson,1
Lionel Messi,messi piqu,1
Lionel Messi,2002,3
Lionel Messi,2002 1928682,1
Lionel Messi,ref copa catalunya,1
Lionel Messi,4 1,7
Lionel Messi,partido de la,1
Lionel Messi,scara,1
Lionel Messi,week,3
Lionel Messi,10 minute,1
Lionel Messi,2012,26
Lionel Messi,barcelona ref serviette ref cite news,1
Lionel Messi,november 2014,1
Lionel Messi,21,18
