Title,Named-entity,Frequency
Microsoft,microsoft https en wikipedia org,1
Microsoft,american,11
Microsoft,microsoft,152
Microsoft,2012,13
Microsoft,building92microsoft jpg image,1
Microsoft,260px,1
Microsoft,92,1
Microsoft,nasdaq msft,1
Microsoft,100,7
Microsoft,500,3
Microsoft,mexico u s founder,1
Microsoft,washington,10
Microsoft,satya nadella,6
Microsoft,brad smith,4
Microsoft,microsoft office,1
Microsoft,microsoft mobile mobile service,1
Microsoft,161 billion,1
Microsoft,fy20 q4,1
Microsoft,2021,18
Microsoft,fy21 q4,1
Microsoft,70 billion ref,1
Microsoft,60 6 billion,1
Microsoft,333 8 billion,1
Microsoft,141 9 billion,1
Microsoft,182 268,1
Microsoft,october 23 2014,1
Microsoft,https news microsoft,2
Microsoft,august 7 2021,1
Microsoft,q2,1
Microsoft,microsoft corporation,1
Microsoft,21 2020,1
Microsoft,united states,13
Microsoft,2020,35
Microsoft,2016,7
Microsoft,global2000,2
Microsoft,2520 2526,2
Microsoft,20150410062432,1
Microsoft,amazon apple inc apple meta,1
Microsoft,meta,1
Microsoft,20150618214355,1
Microsoft,june 18 2015,1
Microsoft,april 4 1975,1
Microsoft,8800,3
Microsoft,mid 1980,1
Microsoft,1986,3
Microsoft,12,8
Microsoft,000,1
Microsoft,1990,2
Microsoft,26,6
Microsoft,december 2016,1
Microsoft,sec,5
Microsoft,1271024 000110465916161289,2
Microsoft,18k,2
Microsoft,htm,3
Microsoft,u s securities exchange commission,2
Microsoft,april 29 2018,1
Microsoft,approximately 26 4 billion,1
Microsoft,20171018154931,1
Microsoft,october 18 2017,1
Microsoft,8 5 nbsp billion,2
Microsoft,2011 ref,1
Microsoft,13343600,2
Microsoft,bbc,3
Microsoft,10 2011,6
Microsoft,20180620073353,1
Microsoft,2015,11
Microsoft,ibm,18
Microsoft,android,2
Microsoft,android ref,1
Microsoft,article 2490008,2
Microsoft,14,8
Microsoft,14 keizer,1
Microsoft,14 2014,2
Microsoft,week,2
Microsoft,gartner estimate,1
Microsoft,48,1
Microsoft,20160821210826,1
Microsoft,hololens hololens cloud compute,1
Microsoft,steve ballmer,10
Microsoft,2000,1
Microsoft,2013,20
Microsoft,8,13
Microsoft,august 23 2013,1
Microsoft,australia,1
Microsoft,20170802165822,1
Microsoft,danger inc 2008 ref,1
Microsoft,20140424124515,1
Microsoft,june 2012,1
Microsoft,microsoft mobile,4
Microsoft,nokia s device service,1
Microsoft,2014,11
Microsoft,december 1999,1
Microsoft,october 7 2017,2
Microsoft,bbc archive url,1
Microsoft,20171016012110,1
Microsoft,october 16 2017,1
Microsoft,2017,32
Microsoft,03,6
Microsoft,20170802164433,1
Microsoft,august 2 2017,1
Microsoft,2018,25
Microsoft,nbc news,1
Microsoft,november 28 2018,1
Microsoft,20181129112846,1
Microsoft,november 29 2018,1
Microsoft,april 2019,1
Microsoft,trillion dollar,1
Microsoft,1 nbsp trillion,1
Microsoft,apple inc apple amazon,1
Microsoft,amazon,2
Microsoft,2019 04,2
Microsoft,24,7
Microsoft,2019,3
Microsoft,html levy,1
Microsoft,1 trillion,1
Microsoft,cnbc,1
Microsoft,20190424211049,1
Microsoft,april 24 2019,1
Microsoft,bydd yeib ref,1
Microsoft,1972 1985,1
Microsoft,33,3
Microsoft,256x256px,1
Microsoft,october 19,1
Microsoft,1981,2
Microsoft,ref allan,3
Microsoft,2001,10
Microsoft,978,2
Microsoft,0 1 year 2001,1
Microsoft,17 2010,2
Microsoft,228,1
Microsoft,november 2012,4
Microsoft,9307520,2
Microsoft,20161106203412,1
Microsoft,1972,1
Microsoft,harvard university,1
Microsoft,honeywell ref,1
Microsoft,20130806021000,1
Microsoft,january 1975,1
Microsoft,boston,4
Microsoft,martin,2
Microsoft,2,13
Microsoft,harvard square newsstand sell,1
Microsoft,new york times company,1
Microsoft,martin ref,1
Microsoft,march 1975,1
Microsoft,108 112,1
Microsoft,april 4,1
Microsoft,5085630,1
Microsoft,bbc news,2
Microsoft,date july 15,1
Microsoft,20060622201711,1
Microsoft,2006,6
Microsoft,cnn,7
Microsoft,fortune fortune archive 1995 10,2
Microsoft,fortune publisher time inc schlender brent,1
Microsoft,april 25 2011,1
Microsoft,20110503155554,1
