Title,Named-entity,Frequency
Selena Gomez,selena gomez https en wikipedia,1
Selena Gomez,american,25
Selena Gomez,30 500,1
Selena Gomez,december 2020,1
Selena Gomez,january 2021,2
Selena Gomez,191125,2
Selena Gomez,wikipedia,1
Selena Gomez,2021,10
Selena Gomez,marie gomez,1
Selena Gomez,age 1992 7,1
Selena Gomez,texas,8
Selena Gomez,u s occupation,1
Selena Gomez,2002,3
Selena Gomez,hollywood,32
Selena Gomez,michael,1
Selena Gomez,respell s lee,1
Selena Gomez,july 22,1
Selena Gomez,1992,3
Selena Gomez,2002 2004,2
Selena Gomez,year,3
Selena Gomez,alex russo disney channel television,1
Selena Gomez,2007 2012,2
Selena Gomez,2008,8
Selena Gomez,2009,55
Selena Gomez,2010,22
Selena Gomez,2011,17
Selena Gomez,2011 spring,1
Selena Gomez,2012,8
Selena Gomez,2013,28
Selena Gomez,2016,17
Selena Gomez,2019,12
Selena Gomez,new york,10
Selena Gomez,2012 2022,1
Selena Gomez,13,16
Selena Gomez,2020,40
Selena Gomez,hbo max,1
Selena Gomez,11th,1
Selena Gomez,200,23
Selena Gomez,america,3
Selena Gomez,2009 year,2
Selena Gomez,2015,17
Selena Gomez,1,27
Selena Gomez,8548614,3
Selena Gomez,4 2020,2
Selena Gomez,20210126023533,1
Selena Gomez,spanish,6
Selena Gomez,ep revelaci n,2
Selena Gomez,175622,2
Selena Gomez,tonight date november 23 2021,1
Selena Gomez,november 23 2021,2
Selena Gomez,20211123190443,1
Selena Gomez,100,42
Selena Gomez,charlie puth song,2
Selena Gomez,2017,46
Selena Gomez,seven million,1
Selena Gomez,22 million,1
Selena Gomez,accord billboard magazine,1
Selena Gomez,billboard s billboard,1
Selena Gomez,year 2017,2
Selena Gomez,age 17,1
Selena Gomez,selena gomez,3
Selena Gomez,usa access date,1
Selena Gomez,6 2020,4
Selena Gomez,july 22 1992,1
Selena Gomez,texas ref thebiographychannel,1
Selena Gomez,april 12 2013,1
Selena Gomez,ricardo joel gomez ref cosmopolitan cite magazine,1
Selena Gomez,2018,23
Selena Gomez,24 2020 archive,1
Selena Gomez,10 2020 archive,1
Selena Gomez,20200510043541,1
Selena Gomez,16,9
Selena Gomez,brian teefey ref texas,1
Selena Gomez,bear ref,1
Selena Gomez,8194264,2
Selena Gomez,20080310021920,1
Selena Gomez,chuck barney,1
Selena Gomez,oakland,1
Selena Gomez,14 2013,3
Selena Gomez,age 16,1
Selena Gomez,ref,11
Selena Gomez,1995,1
Selena Gomez,november 5 2009,1
Selena Gomez,20091201105844,1
Selena Gomez,1 2009,1
Selena Gomez,jessica lucia,1
Selena Gomez,383518,1
Selena Gomez,mexican,4
Selena Gomez,italian,3
Selena Gomez,latin,2
Selena Gomez,latin date september 13 2008,1
Selena Gomez,ref ref cite magazine,2
Selena Gomez,latina magazine latina date june,1
Selena Gomez,20200201222035,1
Selena Gomez,ref ref,5
Selena Gomez,262,2
Selena Gomez,754287,2
Selena Gomez,title tv,1
Selena Gomez,20080808215210,1
Selena Gomez,mexico,1
Selena Gomez,half,1
Selena Gomez,ref gomez s,1
Selena Gomez,1970,1
Selena Gomez,exposito,1
Selena Gomez,03 11,2
Selena Gomez,11 2021,1
Selena Gomez,los angeles times ref heritage,1
Selena Gomez,american mexican ref,1
Selena Gomez,2,12
Selena Gomez,632zoxr22lm,1
Selena Gomez,19,3
Selena Gomez,sunday,2
Selena Gomez,20180215192826,1
Selena Gomez,age seven,1
Selena Gomez,14,2
Selena Gomez,london,1
Selena Gomez,stepbrother,1
Selena Gomez,second,27
Selena Gomez,brian teefey ref,1
Selena Gomez,429749,1
Selena Gomez,345663366762737665,1
Selena Gomez,june 12th,1
Selena Gomez,luv xo,1
Selena Gomez,ref victoria,1
Selena Gomez,gomez ricardo,1
Selena Gomez,sara ref,1
Selena Gomez,2014,20
Selena Gomez,october 18 2014,1
Selena Gomez,20150923224955,1
Selena Gomez,article 32234,1
Selena Gomez,12 2010,1
Selena Gomez,november 17 2010,1
Selena Gomez,20100515122846,1
Selena Gomez,article 32234 date,1
Selena Gomez,16 year old,1
Selena Gomez,504530,1
Selena Gomez,november 7 2014,20
Selena Gomez,melas chloe,1
Selena Gomez,2011 06,2
Selena Gomez,quarter,1
Selena Gomez,20180712084807,1
Selena Gomez,texas ref,1
Selena Gomez,22402,1
Selena Gomez,msn date june 7 2013,1
Selena Gomez,888017,1
Selena Gomez,october 16 2015,1
Selena Gomez,2002 2006,1
Selena Gomez,20170628123613,1
Selena Gomez,lovato audition barney friend ref cite news rivera,1
Selena Gomez,article 1 1347056,1
Selena Gomez,daily,7
Selena Gomez,17,3
Selena Gomez,lovato barney friend benedetti,1
Selena Gomez,3112143,1
Selena Gomez,13 2015 date april 18 2013,1
Selena Gomez,weekly,4
Selena Gomez,16 2013,1
Selena Gomez,20090913194955,1
Selena Gomez,web bryson carey url,1
Selena Gomez,thirteen,4
Selena Gomez,3,3
Selena Gomez,2003,1
Selena Gomez,2005,1
Selena Gomez,255135,1
Selena Gomez,2006,2
Selena Gomez,midsummer s,1
Selena Gomez,august 11 2006,1
Selena Gomez,22 minute,1
Selena Gomez,hannah montana,3
Selena Gomez,2007,5
Selena Gomez,2c,1
Selena Gomez,arwin ref,1
Selena Gomez,20130921054722,1
Selena Gomez,lizzie mcguire,1
Selena Gomez,sanchez ref cite magazine,1
Selena Gomez,2004,2
Selena Gomez,1117912986,1
Selena Gomez,alex russo ref,1
Selena Gomez,los angeles,11
Selena Gomez,california,6
Selena Gomez,new york city,5
Selena Gomez,ref series,1
Selena Gomez,gomez s breakthrough,1
