Title,Named-entity,Frequency
Serena Williams,serena williams,45
Serena Williams,american,17
Serena Williams,1981,2
Serena Williams,2021,28
Serena Williams,williams,426
Serena Williams,2013,30
Serena Williams,jpg caption williams,1
Serena Williams,united states,10
Serena Williams,florida u s ref,1
Serena Williams,230234 9044,1
Serena Williams,williams ref,2
Serena Williams,age 1981,1
Serena Williams,26,4
Serena Williams,michigan u s college,1
Serena Williams,5,17
Serena Williams,october 1995,2
Serena Williams,richard williams,13
Serena Williams,1994,1
Serena Williams,oracene price,1
Serena Williams,mouratoglou 2012,1
Serena Williams,ref cite news rankine claudia title,1
Serena Williams,new york times,29
Serena Williams,august 25 2015,1
Serena Williams,2015 08 30,1
Serena Williams,williams html,2
Serena Williams,2017,52
Serena Williams,94,2
Serena Williams,pdf,1
Serena Williams,april 29 2019,1
Serena Williams,855,1
Serena Williams,152,1
Serena Williams,5th,3
Serena Williams,number 1,11
Serena Williams,240,1
Serena Williams,2003,30
Serena Williams,2007,32
Serena Williams,australian,69
Serena Williams,2002,36
Serena Williams,french,110
Serena Williams,2009,65
Serena Williams,1999,47
Serena Williams,1999 2002,1
Serena Williams,2014,37
Serena Williams,3 1999,1
Serena Williams,2001,28
Serena Williams,2001 2009,1
Serena Williams,2009 2012,2
Serena Williams,2013 2014,2
Serena Williams,190,1
Serena Williams,34,1
Serena Williams,23,7
Serena Williams,1,39
Serena Williams,australianopendoublesresult w 2001,1
Serena Williams,2009 2010,3
Serena Williams,2010,32
Serena Williams,1999 2010,1
Serena Williams,2000,12
Serena Williams,2002 2008,1
Serena Williams,2016,42
Serena Williams,1999 2009,1
Serena Williams,27,5
Serena Williams,1998,37
Serena Williams,17 3,1
Serena Williams,2003 2008 hopman,1
Serena Williams,2022,4
Serena Williams,2000 summer,2
Serena Williams,2008 summer,3
Serena Williams,2012 summer,2
Serena Williams,2012,36
Serena Williams,september 26 1981,2
Serena Williams,ref,14
Serena Williams,319 week,1
Serena Williams,186,2
Serena Williams,second,52
Serena Williams,margaret,3
Serena Williams,24,3
Serena Williams,1995,10
Serena Williams,august 2020,2
Serena Williams,london,5
Serena Williams,article day,2
Serena Williams,28,3
Serena Williams,thirteen,2
Serena Williams,2014 15,1
Serena Williams,14,15
Serena Williams,neworth jack,1
Serena Williams,10,22
Serena Williams,jack neworth,1
Serena Williams,30,10
Serena Williams,20130508062539,1
Serena Williams,jack neworth archive,1
Serena Williams,8 2013,1
Serena Williams,non calendar year,4
Serena Williams,summer,1
Serena Williams,august 2012,1
Serena Williams,13,10
Serena Williams,cbs news language,1
Serena Williams,usopen15,2
Serena Williams,navratilova prime title,1
Serena Williams,september 6 2015 date september 4 2015,1
Serena Williams,18757028,1
Serena Williams,fifth,16
Serena Williams,bbc sport access,6
Serena Williams,2015,70
Serena Williams,auto11,1
Serena Williams,september 5 2017,1
Serena Williams,tmwmie,1
Serena Williams,26cv55icoexfe,1
Serena Williams,november 15 2015,1
Serena Williams,1426225,1
Serena Williams,agassi,3
Serena Williams,rachelle corpuz,1
Serena Williams,april 20 2017,7
Serena Williams,398339,1
Serena Williams,williams americas,1
Serena Williams,williams america,1
Serena Williams,september 9 2014,1
Serena Williams,ref ref auto13,1
Serena Williams,2015 07,5
Serena Williams,april 20 2017 date july 13 2015,1
Serena Williams,justin,1
Serena Williams,billie jean king,2
Serena Williams,55f08f97e4b093be51bd4e20,1
Serena Williams,september 9 2015,1
Serena Williams,article 13239462,1
Serena Williams,john mcenroe,6
Serena Williams,july 13 2015,1
Serena Williams,article 13432409,1
Serena Williams,february 5 2017,1
Serena Williams,sportsperson title,1
Serena Williams,sportsperson michael,1
Serena Williams,2018,88
Serena Williams,daily,12
Serena Williams,allen ja,1
Serena Williams,29tennis,1
Serena Williams,michael date,1
Serena Williams,august 25 2010,1
Serena Williams,new york,25
Serena Williams,august 30 2009,1
Serena Williams,f2,1
Serena Williams,new york times ref ref cite news,1
Serena Williams,2011 12,1
Serena Williams,15,6
Serena Williams,november 2011,1
Serena Williams,39,2
Serena Williams,year 2015,1
Serena Williams,29 million,1
Serena Williams,100,4
Serena Williams,27 nbsp million,1
Serena Williams,nick title serena williams,1
Serena Williams,usa,8
Serena Williams,today date december,1
Serena Williams,16 2015,11
Serena Williams,77391104 archive,2
Serena Williams,20160505162455,1
Serena Williams,28th,2
Serena Williams,june 2021,3
Serena Williams,2,25
Serena Williams,michigan oracene,1
Serena Williams,venus williams,2
Serena Williams,seven,4
Serena Williams,half,4
Serena Williams,ref edmondson,1
Serena Williams,year 2005,3
Serena Williams,978,1
Serena Williams,venusserenawilli0000edmo ref ref,1
Serena Williams,hillary crosley,1
Serena Williams,california,6
Serena Williams,20161107060752,1
Serena Williams,november 7 2016,1
Serena Williams,19,5
Serena Williams,april 22 2009,3
Serena Williams,april 2017,2
Serena Williams,compton,1
Serena Williams,tutorial academy ref,1
Serena Williams,0bzrbetezhav7mti0yzzlyzitzguwzi00ote4lwe2nmitm2ywmmu5ntdlmwvm,1
Serena Williams,ref file venu serena,1
Serena Williams,1993,2
Serena Williams,jpg thumb,7
Serena Williams,compton west,1
Serena Williams,florida,7
Serena Williams,ref serenabio,1
Serena Williams,academy rick macci,1
Serena Williams,35,3
Serena Williams,8 2012,1
Serena Williams,today,4
Serena Williams,20120708024727,1
Serena Williams,newsweek1998,1
Serena Williams,article 1012925,2
Serena Williams,20170903121131,1
Serena Williams,september 3 2017,1
Serena Williams,august 24 1998,1
Serena Williams,46 3,1
Serena Williams,united states tennis association junior,1
Serena Williams,46 47 ref 1995,1
Serena Williams,ninth,3
Serena Williams,williams s,11
Serena Williams,16,4
Serena Williams,age 14,2
Serena Williams,october 31 1995,1
Serena Williams,oakland,1
Serena Williams,october 6 1995,1
Serena Williams,06,2
Serena Williams,2019,27
Serena Williams,bell challenge quebec ref familytradition ref cite news title,1
Serena Williams,germany,3
Serena Williams,october 29 1995,1
Serena Williams,29,5
Serena Williams,859495,1
Serena Williams,18 year old,2
Serena Williams,annie miller,2
Serena Williams,114,1
Serena Williams,115,1
Serena Williams,william play,1
Serena Williams,1996,2
Serena Williams,april 2017 year,1
Serena Williams,ameritech cup chicago,1
Serena Williams,ref youngerwilliam,1
Serena Williams,chicago,1
Serena Williams,november 4 1997,1
Serena Williams,1997 11 04,1
Serena Williams,chicago html access date july,1
Serena Williams,304,1
Serena Williams,7,9
Serena Williams,4,24
Serena Williams,monica sele ref cite news,1
Serena Williams,november 7 1997,1
Serena Williams,1997 11,2
Serena Williams,november 8,2
Serena Williams,147 50970,1
Serena Williams,november 9 1997,1
Serena Williams,09,1
Serena Williams,semi html,1
Serena Williams,1997,5
Serena Williams,99,1
Serena Williams,october 12 2017,4
Serena Williams,ref williams,61
Serena Williams,international sydney ref,1
