Title,Named-entity,Frequency
Shawn Mendes,shawn,1
Shawn Mendes,https en wikipedia,1
Shawn Mendes,canadian,20
Shawn Mendes,september 2020,1
Shawn Mendes,june 2016,4
Shawn Mendes,01,1
Shawn Mendes,2020,21
Shawn Mendes,age 1998 8 8,1
Shawn Mendes,ontario canada,1
Shawn Mendes,2013,4
Shawn Mendes,universal music canada ref cite magazine url https,1
Shawn Mendes,7767524,1
Shawn Mendes,canada,13
Shawn Mendes,star building toronto,1
Shawn Mendes,toronto,7
Shawn Mendes,april 19 2017,1
Shawn Mendes,billboard magazine billboard ref,1
Shawn Mendes,2,3
Shawn Mendes,august 8,1
Shawn Mendes,1998,2
Shawn Mendes,year,1
Shawn Mendes,andrew gertler,2
Shawn Mendes,ep self title debut,1
Shawn Mendes,ep,1
Shawn Mendes,2014,12
Shawn Mendes,2015,15
Shawn Mendes,200,20
Shawn Mendes,18,5
Shawn Mendes,uk 10 canada second studio,1
Shawn Mendes,2016,16
Shawn Mendes,10,10
Shawn Mendes,2018,56
Shawn Mendes,2019,11
Shawn Mendes,100,27
Shawn Mendes,1,15
Shawn Mendes,article business chart beat,1
Shawn Mendes,9498963,2
Shawn Mendes,13,2
Shawn Mendes,europe,5
Shawn Mendes,american,13
Shawn Mendes,annual,2
Shawn Mendes,manuel mende,1
Shawn Mendes,october 23 2015,1
Shawn Mendes,ref mother,1
Shawn Mendes,aaliyah ref,1
Shawn Mendes,seventeen,6
Shawn Mendes,june 21 2019,1
Shawn Mendes,yesterday date june 29 2016,1
Shawn Mendes,october 18 2018,1
Shawn Mendes,channel toronto ref cite news,1
Shawn Mendes,november 9 2018,1
Shawn Mendes,voa png,1
Shawn Mendes,14 2012,1
Shawn Mendes,5,4
Shawn Mendes,50268,1
Shawn Mendes,february 12 2017 ref year later,1
Shawn Mendes,app vine service,1
Shawn Mendes,10 000,1
Shawn Mendes,million,1
Shawn Mendes,second,18
Shawn Mendes,today,2
Shawn Mendes,20140605021933,1
Shawn Mendes,april 30 2018,1
Shawn Mendes,kanye,2
Shawn Mendes,627791,1
Shawn Mendes,04 23,1
Shawn Mendes,august 2014,1
Shawn Mendes,musician vine ref,1
Shawn Mendes,142503 20151021,1
Shawn Mendes,october 21 2015,1
Shawn Mendes,14,2
Shawn Mendes,ref,4
Shawn Mendes,november 2013,1
Shawn Mendes,january 2014 april,1
Shawn Mendes,june 26 2014,1
Shawn Mendes,ref billboard cite magazine url https www billboard,1
Shawn Mendes,6165603,1
Shawn Mendes,vine magazine,1
Shawn Mendes,18 2014,2
Shawn Mendes,25,5
Shawn Mendes,24 week end july 12 2014,1
Shawn Mendes,15 year old,1
