Title,Named-entity,Frequency
Sundar Pichai,sundar pichai https en wikipedia org,1
Sundar Pichai,indian,9
Sundar Pichai,past year,1
Sundar Pichai,american,2
Sundar Pichai,august 2014,1
Sundar Pichai,2020,13
Sundar Pichai,age 1972,1
Sundar Pichai,india,12
Sundar Pichai,united states,3
Sundar Pichai,alphabet inc ref,1
Sundar Pichai,29096,2
Sundar Pichai,alphabet inc,3
Sundar Pichai,bloomberg news access,1
Sundar Pichai,november 26 2017,1
Sundar Pichai,20171201042507,1
Sundar Pichai,bloomberg,1
Sundar Pichai,2014 2018,1
Sundar Pichai,2020 09,1
Sundar Pichai,2021,2
Sundar Pichai,ref,3
Sundar Pichai,2,1
Sundar Pichai,padma,3
Sundar Pichai,40px,1
Sundar Pichai,stanford,1
Sundar Pichai,alphabet inc alphabet,1
Sundar Pichai,june 10 1972,1
Sundar Pichai,ref britannica,1
Sundar Pichai,5,2
Sundar Pichai,10,1
Sundar Pichai,2154796,1
Sundar Pichai,april 16 2021,5
Sundar Pichai,indian express ref ref,1
Sundar Pichai,1,4
Sundar Pichai,article alphabet,1
Sundar Pichai,american business,1
Sundar Pichai,67065044,2
Sundar Pichai,20181220163250,1
Sundar Pichai,bear madurai india,1
Sundar Pichai,pennsylvania,1
Sundar Pichai,web date april 17 2020,1
Sundar Pichai,spring summer 2020,1
Sundar Pichai,britannica language en ref,1
Sundar Pichai,2010,2
Sundar Pichai,2012,2
Sundar Pichai,android,8
Sundar Pichai,august 10 2015,1
Sundar Pichai,larry page,3
Sundar Pichai,october 24 2015,2
Sundar Pichai,alphabet inc new,2
Sundar Pichai,2017,24
Sundar Pichai,alphabet board,1
Sundar Pichai,24,1
Sundar Pichai,100,7
Sundar Pichai,annual,1
Sundar Pichai,2016,2
Sundar Pichai,16 2021,1
Sundar Pichai,2020 5888419,1
Sundar Pichai,tamil nadu india ref school day,1
Sundar Pichai,2015 08,6
Sundar Pichai,silicon valley,3
Sundar Pichai,august 12 2015,2
Sundar Pichai,20160203140722,1
Sundar Pichai,14 2021,1
Sundar Pichai,britannica language en ref ref charlie cite news,1
Sundar Pichai,charlie title,1
Sundar Pichai,alphabet sundar,4
Sundar Pichai,august 11 2015,4
Sundar Pichai,20180306142631,1
Sundar Pichai,british,1
Sundar Pichai,0,2
Sundar Pichai,48446157,2
Sundar Pichai,bennett coleman,1
Sundar Pichai,mumbai mirror archive url https,1
Sundar Pichai,20150815024206,1
Sundar Pichai,august 15 2015,2
Sundar Pichai,iit k stanford wharton,2
Sundar Pichai,eric schmidt,2
Sundar Pichai,1 5589,2
Sundar Pichai,20150815205508,1
Sundar Pichai,california,2
Sundar Pichai,today date december,1
Sundar Pichai,indiatoday,1
Sundar Pichai,today,1
Sundar Pichai,september 9 2021,1
Sundar Pichai,ref ashok nagar,1
Sundar Pichai,iit madras ref cite news,1
Sundar Pichai,1378734,2
Sundar Pichai,20150814162630,1
Sundar Pichai,14 2015,1
Sundar Pichai,29744299,2
Sundar Pichai,20150306211227,1
Sundar Pichai,sci tech,2
Sundar Pichai,20160331175204,1
Sundar Pichai,ref britannica ref http,1
Sundar Pichai,347,1
Sundar Pichai,20130321100430,1
Sundar Pichai,august 23 2013,1
Sundar Pichai,charles title,2
Sundar Pichai,seven,3
Sundar Pichai,24183228,2
Sundar Pichai,14 2013,3
Sundar Pichai,20131018022411,1
Sundar Pichai,october 18 2013,1
Sundar Pichai,jpg,1
Sundar Pichai,250px,1
Sundar Pichai,2015,2
Sundar Pichai,congress,3
