Title,Named-entity,Frequency
United States of America,united states,385
United States of America,america,113
United States of America,wikipedia org,1
United States of America,continental,3
United States of America,american,148
United States of America,september 2021,1
United States of America,100,10
United States of America,long united states,1
United States of America,36 302,1
United States of America,ref,41
United States of America,1 15em,1
United States of America,u s department state bureau public affairs,1
United States of America,year 2003,4
United States of America,2009,27
United States of America,2017,23
United States of America,27807,1
United States of America,february 12 2020,1
United States of America,italic ref de facto,1
United States of America,14,6
United States of America,71st,1
United States of America,congress title act star spangle banner,1
United States of America,anthem united states,1
United States of America,46,2
United States of America,1508,1
United States of America,4em,2
United States of America,kidder,1
United States of America,2007,31
United States of America,91,1
United States of America,112,2
United States of America,1263,2
United States of America,105 225,1
United States of America,304,1
United States of America,john philip sousa,5
United States of America,u s north america,1
United States of America,u s state,10
United States of America,washington,17
United States of America,15,8
United States of America,u s,43
United States of America,1,32
United States of America,220px,1
United States of America,new york city,13
United States of America,english,25
United States of America,32,3
United States of America,hawaiian,5
United States of America,hawaii,9
United States of America,alaska,16
United States of America,20,7
United States of America,cherokee,1
United States of America,french,10
United States of America,spanish,21
United States of America,puerto rico,19
United States of America,chamorro language,1
United States of America,chamorro guam northern mariana island,1
United States of America,carolinian language,1
United States of America,carolinian,2
United States of America,northern mariana island,2
United States of America,1983,1
United States of America,195,2
United States of America,167,1
United States of America,61,4
United States of America,african americans,5
United States of America,0 asian,1
United States of America,americans,53
United States of America,americans united,2
United States of America,native american,13
United States of America,10 2,1
United States of America,8 5,1
United States of America,hispanic,8
United States of America,81 3,1
United States of America,18 7,1
United States of America,year 2020,5
United States of America,group ref ref,1
United States of America,2020censusdata,1
United States of America,2021,44
United States of America,2020,54
United States of America,august 13 2021,3
United States of America,2020interactivecensusdata,1
United States of America,2010 2020,1
United States of America,100000060666476,1
United States of America,2010,26
United States of America,npr,7
United States of America,2021 08,1
United States of America,yankee,1
United States of America,18th century,3
United States of America,ohio url https,1
United States of America,22national,1
United States of America,22 yankee year 1963,1
United States of America,336,1
United States of America,name1,1
United States of America,joe biden,7
United States of America,democratic party united states,2
United States of America,name2 kamala harris,1
United States of America,united states house,3
United States of America,john roberts,1
United States of America,congress,12
United States of America,house united states,1
United States of America,senate senate low house united states house representative house,1
United States of America,britain,10
United States of America,event1 united states,1
United States of America,july 4 1776,2
United States of America,1783,1
United States of America,paris,7
United States of America,september 3 1783,1
United States of America,june 21 1788,1
United States of America,august 21,1
United States of America,50,9
United States of America,august 2010,2
United States of America,area html,2
United States of America,3rd,2
United States of America,4th,1
United States of America,742 percent,1
United States of America,66,2
United States of America,october 11 2020,1
United States of America,3,12
United States of America,905,1
United States of America,april 1 2020,2
United States of America,331 893,1
United States of America,annual,7
United States of America,87,2
United States of America,july 2019,2
United States of America,185th,1
United States of America,25,7
United States of America,2022,1
United States of America,april,3
United States of America,april 2022 date april 2022,1
United States of America,april 19 2022,1
United States of America,year 2022,2
United States of America,2nd,2
United States of America,76,6
United States of America,9th,1
United States of America,027,1
United States of America,48 5,1
United States of America,gini ref ref cite news url,1
United States of America,2019 09,1
United States of America,26,5
United States of America,washington post access,6
United States of America,ref gini,1
United States of America,0,18
United States of America,hdi year 2019,1
United States of America,pdf title human,1
United States of America,united nations development programme,3
United States of America,15 2020,1
United States of America,17th,2
United States of America,u s dollar,1
United States of America,4,17
United States of America,4 10,1
United States of America,north american,7
United States of America,2004,1
United States of America,84,1
United States of America,paris https doi org,1
United States of America,date july 2021,1
United States of America,today,7
United States of America,63,2
United States of America,40,9
United States of America,21,7
United States of America,2,28
United States of America,christian,14
United States of America,29,2
United States of America,6,24
United States of America,year 2021,1
United States of America,21 2021,1
United States of America,14 2021,3
United States of America,ref united states,27
United States of America,u s usa,1
United States of America,u s simply,1
United States of America,district united states,1
United States of America,326,1
United States of America,indian,16
United States of America,american samoa guam northern mariana island,2
United States of America,11,11
United States of America,baker island,1
United States of America,nuevo bank,1
United States of America,u s state department,1
United States of America,179780,1
United States of America,u n committee,1
United States of America,22,10
United States of America,u s general accounting office report https,1
United States of America,1998,8
United States of America,pdf u,1
United States of America,u s constitution,3
United States of America,20131103093032,1
United States of America,november 3 2013,1
United States of America,november 1997,1
United States of America,1 6 39n,1
United States of America,april 6 2016,1
United States of America,fourth,3
United States of America,canada american,1
United States of America,canadian,1
United States of America,border north,1
United States of America,mexican,3
United States of America,cuba,1
United States of America,russia,6
United States of America,united kingdom,5
United States of America,u s virgin island,4
United States of America,british,8
United States of America,ref https,3
United States of America,britannica,4
United States of America,july 3 2020,3
United States of America,20200429112829,1
United States of America,dominican republic ref https,1
United States of America,puerto ricobritannica,1
United States of America,20200702120024,1
United States of America,date july 2 2020,1
United States of America,cook island cook island,1
United States of America,ref anderson ewan,1
United States of America,2003,11
United States of America,atlas routledge,1
United States of America,new york,35
United States of America,54061586,1
United States of America,jonathan david colson,1
United States of America,robert w smith,1
United States of America,2005,8
United States of America,5,13
United States of America,hotei publishing leiden ref american,1
United States of America,niue ref https www pacgeo org static maritimeboundaries pacgeo,1
United States of America,20200731224602,1
United States of America,331 million,1
United States of America,indians,7
United States of America,siberia north american,1
United States of America,12 000 year ago,2
United States of America,european colonization america,1
United States of America,european,28
United States of America,16th century,1
United States of America,thirteen,10
United States of America,east coast,1
United States of America,american revolutionary war,1
United States of America,1775 1783,1
United States of America,late 18th century,2
United States of America,1848,3
United States of America,united states span,1
United States of America,east west,1
United States of America,southern united states,4
United States of America,second half 19th century,1
United States of America,soviet union,7
United States of America,korean war korean vietnam war s,1
United States of America,11 1969,1
United States of America,1991,3
United States of America,april 2022 21st century,1
United States of America,april 2022,1
United States of America,government united states,2
United States of America,al republic,1
United States of America,united nations world bank international monetary fund,1
United States of America,nato international organization,1
United States of America,united nations security council,4
United States of America,immigration united states,4
United States of America,universal health,1
United States of America,bonilla silva,1
United States of America,bonilla silva eduardo,1
United States of America,6ig7qgaacaaj,1
United States of America,2 29,1
United States of America,pa143,1
United States of America,143,1
United States of America,u s health,1
United States of America,u s health care system international,1
United States of America,23172,2
United States of America,un,4
United States of America,2018,29
United States of America,approximately quarter,1
United States of America,second,22
United States of America,4 2,1
United States of America,30,4
United States of America,politic united states,1
United States of America,april 2008,1
United States of America,november 2008,2
United States of America,16 2014,3
United States of America,20140317092424,1
United States of America,week,2
United States of America,2012,8
United States of America,european patent office ref,1
United States of America,german,2
United States of America,martin,3
United States of America,south america,2
United States of America,italian,8
United States of America,west indie,1
United States of America,asia s eastern,1
United States of America,226,1
United States of America,42510,1
United States of America,vespucci html,1
United States of America,jonathan cohen,1
United States of America,20181006194659,1
United States of America,1776,4
United States of America,joseph reed,3
United States of America,george washington s,1
United States of America,spain,5
United States of America,american revolutionary war revolutionary war effort ref,1
United States of America,july 4,1
United States of America,2013 0704,1
United States of America,boston,3
United States of America,live washington,1
United States of America,washington s favorite military,1
United States of America,boston ma ref ref,1
United States of America,touba,1
United States of America,mariam,1
United States of America,november 5 2014,1
United States of America,january 2 1776,1
United States of America,seven month,1
United States of America,george washington,2
United States of America,society museum library ref ref,1
United States of America,virginia gazette,1
United States of America,virginia,3
United States of America,virginia gazette title,1
United States of America,virginia planter,1
United States of America,hunter s,1
United States of America,april 6 1776,1
United States of America,peter force s american archives url https,1
United States of America,cfm issueidno,2
United States of America,16 issue 1287,1
United States of America,20141219053616,1
United States of America,19 2014,1
United States of America,john dickinson,1
United States of America,june,4
United States of America,17 1776,1
United States of America,199,4
United States of America,1777,1
United States of America,june 1776,1
United States of America,thomas jefferson write,1
United States of America,21 1776,1
United States of America,june 17,1
United States of America,g united states,1
United States of America,american united states,1
United States of America,u s refer,1
United States of America,u s nbsp force,1
United States of America,american word,1
United States of America,wilson,2
United States of America,kenneth g title columbia,1
