Title,Named-entity,Frequency
Vladimir Putin,vladimir putin https en wikipedia,1
Vladimir Putin,vladimir putin,160
Vladimir Putin,1999 2008 2012,1
Vladimir Putin,putin lang,1
Vladimir Putin,30 500,1
Vladimir Putin,17,15
Vladimir Putin,jpg,2
Vladimir Putin,2021,38
Vladimir Putin,russia,712
Vladimir Putin,4th,1
Vladimir Putin,7 2012,11
Vladimir Putin,medvedev mikhail mishustin,1
Vladimir Putin,7 2000,5
Vladimir Putin,31 december 1999 7 2000,1
Vladimir Putin,boris yeltsin,10
Vladimir Putin,mikhail kasyanov mikhail,1
Vladimir Putin,end3 7 2012,1
Vladimir Putin,medvedev,2
Vladimir Putin,1blankname3,1
Vladimir Putin,1namedata3,1
Vladimir Putin,1blankname4,1
Vladimir Putin,1namedata4,1
Vladimir Putin,russia nikolai,1
Vladimir Putin,viktor khristenko,1
Vladimir Putin,march 1999,1
Vladimir Putin,august 1999,5
Vladimir Putin,25 july 1998,1
Vladimir Putin,29 march 1999,1
Vladimir Putin,kovalyov,2
Vladimir Putin,nikolai patrushev,1
Vladimir Putin,office7,1
Vladimir Putin,12,8
Vladimir Putin,1blankname8,1
Vladimir Putin,1namedata8,1
Vladimir Putin,alexander lukashenko,2
Vladimir Putin,2blankname8,1
Vladimir Putin,2namedata8,1
Vladimir Putin,18 july 2012,1
Vladimir Putin,7 2008,1
Vladimir Putin,1991 1995 2001,1
Vladimir Putin,2011,20
Vladimir Putin,united russia,2
Vladimir Putin,russia s rule party url https www telegraph,1
Vladimir Putin,9223621,2
Vladimir Putin,20 march 2022,1
Vladimir Putin,20220110,8
Vladimir Putin,russian,325
Vladimir Putin,1999 2001,1
Vladimir Putin,1995 1999,1
Vladimir Putin,communist party,3
Vladimir Putin,soviet union,18
Vladimir Putin,1975 1991,2
Vladimir Putin,vladimir vladimirovich putin,3
Vladimir Putin,leningrad russian,2
Vladimir Putin,putina lyudmila,4
Vladimir Putin,28,14
Vladimir Putin,july 1983 2014,1
Vladimir Putin,2013,12
Vladimir Putin,kremlin,73
Vladimir Putin,2014,44
Vladimir Putin,rferl080418 ref,1
Vladimir Putin,2 maria,1
Vladimir Putin,vorontsova maria katerina,1
Vladimir Putin,tikhonova katerina,1
Vladimir Putin,svetlana krivonogikh,2
Vladimir Putin,fourth,4
