Title,Named-entity,Frequency
Volkswagen,volkswagen https en wikipedia org wiki volkswagen,1
Volkswagen,volkswagen group,6
Volkswagen,british,7
Volkswagen,august 2010,2
Volkswagen,volkswagen,90
Volkswagen,2019,16
Volkswagen,150,2
Volkswagen,germany,21
Volkswagen,german,26
Volkswagen,ref https www volkswagen,1
Volkswagen,6086,1
Volkswagen,june 2020,4
Volkswagen,year,3
Volkswagen,english,1
Volkswagen,saxony germany,1
Volkswagen,1937,3
Volkswagen,2016 2017,1
Volkswagen,2017,16
Volkswagen,30,5
Volkswagen,toyota,7
Volkswagen,97234320,2
Volkswagen,usa today,1
Volkswagen,20170511190411,1
Volkswagen,china,36
Volkswagen,40,1
Volkswagen,45803013,1
Volkswagen,bbc news,7
Volkswagen,20181119064729,1
Volkswagen,45803013 archive,1
Volkswagen,chinese,6
Volkswagen,1209325 2,2
Volkswagen,24,5
Volkswagen,2018,20
Volkswagen,20180529220404,1
Volkswagen,ref,6
Volkswagen,1932,1
Volkswagen,nuremberg,2
Volkswagen,jpg thumb,16
Volkswagen,12,9
Volkswagen,deutsche arbeitsfront berlin ref chronicle,1
Volkswagen,7,2
Volkswagen,vwag vwcorp,2
Volkswagen,bin acq qual,2
Volkswagen,www2,1
Volkswagen,2009,20
Volkswagen,20101216072143,1
Volkswagen,early 1930,1
Volkswagen,50,5
Volkswagen,mercedes benz 130,1
Volkswagen,170h,1
Volkswagen,3 15,1
Volkswagen,2 5 litre,1
Volkswagen,55,1
Volkswagen,1 3l,1
Volkswagen,mid 1920,1
Volkswagen,2 10 ps 2 10,1
Volkswagen,1925 1928,1
Volkswagen,154651,1
Volkswagen,post date 13 september 2009,1
Volkswagen,20130523125036,1
Volkswagen,23 2013,1
Volkswagen,czechoslovakia,1
Volkswagen,hans ledwinka s,1
Volkswagen,try year,1
Volkswagen,1933,1
Volkswagen,nelson walter title small,1
Volkswagen,year 1967,1
Volkswagen,333,1
Volkswagen,1930s,2
Volkswagen,6,8
Volkswagen,1934,1
Volkswagen,100 km h mph,1
Volkswagen,990,1
Volkswagen,1938,3
Volkswagen,week,1
Volkswagen,risefall william,1
Volkswagen,new york,12
Volkswagen,1990,3
Volkswagen,20080306113930,1
Volkswagen,september 2015,5
Volkswagen,eigenen,1
Volkswagen,336,1
Volkswagen,henry ford,2
Volkswagen,america,10
Volkswagen,249,1
Volkswagen,268,1
Volkswagen,1433081,1
Volkswagen,20190824164728,1
Volkswagen,1433081 date,1
Volkswagen,london,2
Volkswagen,allen lane,1
Volkswagen,year 2006,1
Volkswagen,978 0 7139 9566 4,1
Volkswagen,154,1
Volkswagen,ref ref group,1
Volkswagen,1939,2
Volkswagen,2006,14
Volkswagen,156,1
Volkswagen,kdf,1
Volkswagen,4,14
Volkswagen,28 1937,1
Volkswagen,vorbereitung des,1
Volkswagen,german volkswagen ltd,1
Volkswagen,75,4
Volkswagen,166917,2
Volkswagen,20160923153859,1
Volkswagen,seventy year ago,1
Volkswagen,june 2009,1
Volkswagen,ag,8
Volkswagen,january 2010,1
Volkswagen,later 16 september 1938,1
Volkswagen,1939 year,1
Volkswagen,2015,8
Volkswagen,b00zln91zg ref ref,1
Volkswagen,20150310221809,1
Volkswagen,6 january 2014,1
Volkswagen,83,1
Volkswagen,82e,1
Volkswagen,today,5
Volkswagen,early 1920s,1
Volkswagen,million mile,1
Volkswagen,1,20
Volkswagen,20 april 1944,1
Volkswagen,55th,1
Volkswagen,2015 1939 1944,1
Volkswagen,82,2
Volkswagen,1943,1
Volkswagen,cleveland world,1
Volkswagen,1945,3
Volkswagen,275,1
Volkswagen,293,3
Volkswagen,april 1938 april 1945,2
Volkswagen,1998,6
Volkswagen,80,3
Volkswagen,year 2018,1
Volkswagen,978,1
Volkswagen,23450,1
Volkswagen,17,4
Volkswagen,1998 06,2
Volkswagen,13,5
Volkswagen,18 2011,2
Volkswagen,20121103234241,1
Volkswagen,162126,1
Volkswagen,1 september,1
Volkswagen,20140529224344,1
Volkswagen,bbc,5
Volkswagen,29 2014,2
Volkswagen,1948,3
Volkswagen,wolfsburg jpg thumb,1
Volkswagen,2006 april 1945,1
Volkswagen,united states,15
Volkswagen,united states armed force,1
Volkswagen,british british,1
Volkswagen,britain,3
Volkswagen,date july 2017,10
Volkswagen,july 2017,7
Volkswagen,late 1946 mid 1947,1
Volkswagen,1951,1
Volkswagen,september 1945,1
Volkswagen,british army,1
Volkswagen,20 000,1
Volkswagen,1949,5
Volkswagen,east germany,1
Volkswagen,soviet,1
Volkswagen,october 1986,1
Volkswagen,force australia,1
Volkswagen,united kingdom,1
Volkswagen,11,4
Volkswagen,february 2014,3
Volkswagen,20150404000212,1
Volkswagen,date july 2017 1986,1
Volkswagen,10 1936,1
Volkswagen,10,8
Volkswagen,22,12
Volkswagen,1947,2
Volkswagen,s truman library,1
Volkswagen,3 march 1947,1
Volkswagen,950b,1
Volkswagen,20110211032355,1
Volkswagen,february 2011,2
Volkswagen,1946,1
Volkswagen,1 000,1
Volkswagen,70 year,1
Volkswagen,august 2020,2
Volkswagen,second,18
Volkswagen,world war era,1
Volkswagen,volkswagen wolfsburg,1
Volkswagen,american australian british french motor,1
Volkswagen,william edward,1
Volkswagen,william rootes,1
Volkswagen,october 2009,2
Volkswagen,20131204072755,1
Volkswagen,uk ref ford,1
Volkswagen,march 1948,1
Volkswagen,ford,13
Volkswagen,henry ford ii,1
Volkswagen,edsel,1
Volkswagen,west germany,3
Volkswagen,heinz,1
Volkswagen,ernest breech,1
Volkswagen,don,1
Volkswagen,date 1970,1
Volkswagen,18,5
Volkswagen,november 2020,5
Volkswagen,1948 1961,1
Volkswagen,jpg right,1
Volkswagen,1953,2
Volkswagen,2010,13
Volkswagen,05 04,1
Volkswagen,2,19
Volkswagen,1300,1
Volkswagen,1966,2
Volkswagen,1967,3
Volkswagen,later 1960,1
Volkswagen,west german,2
Volkswagen,1899 1968,1
Volkswagen,1930 1940,1
Volkswagen,1948 1949,1
Volkswagen,saxony,1
Volkswagen,van pick,1
Volkswagen,karmann ghia,5
Volkswagen,1968,1
Volkswagen,wagon volkswagen group america volkswagen america,1
Volkswagen,april 1955,1
Volkswagen,1955,1
Volkswagen,uk,9
Volkswagen,canadian,6
Volkswagen,canada s shipment,1
Volkswagen,10 july 1952,1
Volkswagen,143075,1
Volkswagen,october 2016,5
Volkswagen,3 11gs,1
Volkswagen,2 24a,1
Volkswagen,1 21a,1
Volkswagen,1 23a,1
Volkswagen,1 22a,1
Volkswagen,canada,9
Volkswagen,august 1952,1
Volkswagen,volkswagen canada reach toronto,1
Volkswagen,early december 1952,1
Volkswagen,60th year,1
Volkswagen,2012,9
Volkswagen,october 2016 1955,1
Volkswagen,32 acre,1
Volkswagen,toronto,3
Volkswagen,golden mile,1
Volkswagen,60000,1
Volkswagen,m2 adj building administration,1
Volkswagen,1957,1
Volkswagen,4 000 000,1
Volkswagen,october 2016 1959,1
Volkswagen,brazil,23
Volkswagen,799280,2
Volkswagen,20170726152904,1
Volkswagen,44669802,1
Volkswagen,26 july 2017,1
Volkswagen,24 july 2017,4
Volkswagen,ref volkswagen brasil,1
Volkswagen,1970,2
Volkswagen,1976,4
Volkswagen,1979,2
Volkswagen,2016,11
Volkswagen,39814070,4
Volkswagen,brazil s military,2
Volkswagen,20170724135938,2
Volkswagen,august 1960,1
Volkswagen,1960,2
Volkswagen,helmut krone,1
Volkswagen,julian,1
Volkswagen,koenig bob,1
Volkswagen,49959289,2
Volkswagen,date 2002,1
Volkswagen,137,1
Volkswagen,early 1970,1
Volkswagen,american,6
Volkswagen,17 february 1972,1
Volkswagen,034th,1
Volkswagen,1973,7
Volkswagen,16 million,2
Volkswagen,1000,1
Volkswagen,mexican,1
Volkswagen,1967 1971,1
Volkswagen,ref volkswagen,1
Volkswagen,https qesot,1
Volkswagen,ref united states,2
Volkswagen,15 cm,1
Volkswagen,robert bosch gmbh bosch,1
Volkswagen,date july 2017 1961 1973,1
Volkswagen,3,23
Volkswagen,1963,2
Volkswagen,1961,2
Volkswagen,36,1
Volkswagen,1200cc,1
Volkswagen,1300cc,1
Volkswagen,1 1500cc,1
Volkswagen,1600cc 1970,1
Volkswagen,favour united states,1
Volkswagen,west coast,1
Volkswagen,west coast beach,1
Volkswagen,1969,4
Volkswagen,411,1
Volkswagen,412,1
Volkswagen,1964,1
Volkswagen,motorenwerke ag,1
Volkswagen,28 october 2006,1
Volkswagen,6 2015,1
Volkswagen,20150506213643,1
Volkswagen,htm archive,1
Volkswagen,131,2
Volkswagen,1971,2
Volkswagen,1975,4
Volkswagen,181,1
Volkswagen,europe,15
Volkswagen,nato,1
Volkswagen,1970 1979,1
Volkswagen,1973 1974,1
Volkswagen,145,2
Volkswagen,0007,1
Volkswagen,1600,1
Volkswagen,17081445566,1
Volkswagen,1972,1
Volkswagen,jpg,2
Volkswagen,266,1
Volkswagen,ref zacar1172 cite magazine,1
Volkswagen,16,1
Volkswagen,11 date december 1972,1
Volkswagen,parker pty ltd location,1
Volkswagen,south africa,1
Volkswagen,b1,1
Volkswagen,1973 1977,1
Volkswagen,william beaver,1
Volkswagen,dec 1992,1
Volkswagen,20120709024025,1
Volkswagen,13246858,1
Volkswagen,nsu motorenwerke ag,1
Volkswagen,european,17
Volkswagen,north american,6
Volkswagen,s ownership audi,1
Volkswagen,successor audi,1
Volkswagen,polo series volkswagen,1
Volkswagen,1974,4
Volkswagen,karmann capacity constraint volkswagen,1
Volkswagen,1st generation 1975,1
Volkswagen,1985,6
Volkswagen,2006 2009,1
Volkswagen,italian,1
Volkswagen,1959,1
Volkswagen,1978,4
Volkswagen,polo follow badge audi,1
Volkswagen,1977,1
Volkswagen,1991,2
Volkswagen,1974 1990,1
Volkswagen,20090810,1
Volkswagen,polo mk1,1
Volkswagen,1975 1979,1
Volkswagen,summer 1974 autumn 1983,1
Volkswagen,caribe,1
Volkswagen,latin america,3
Volkswagen,caddy pick north american,1
Volkswagen,new stanton,1
Volkswagen,spring 1984,1
Volkswagen,october 1983 autumn 1991,1
Volkswagen,annually,1
Volkswagen,africa,1
Volkswagen,date july 2017 1980s,1
Volkswagen,1980,7
Volkswagen,709,1
Volkswagen,1996,2
Volkswagen,eighth,1
Volkswagen,1985 22nd year early ref,1
Volkswagen,kiley,1
Volkswagen,john wiley,1
Volkswagen,2001,5
Volkswagen,s american,1
Volkswagen,200,1
Volkswagen,1985 1986,1
Volkswagen,early decade,1
Volkswagen,carl hahn,1
Volkswagen,14 july 1988,1
Volkswagen,ref cite news url https,1
Volkswagen,u s plant newspaper,1
Volkswagen,new york times,1
Volkswagen,november 1987,1
Volkswagen,17 2008 archive,1
Volkswagen,20081206165847,1
Volkswagen,9b0de7d6113df932a15752c1a961948260 archive date,1
Volkswagen,spanish,1
Volkswagen,1982,2
Volkswagen,1986,1
Volkswagen,368,2
Volkswagen,1950,2
Volkswagen,20090718053942,1
Volkswagen,18 july 2009,1
Volkswagen,july 1985,1
Volkswagen,ag volkswagen,1
Volkswagen,127,1
Volkswagen,5,9
Volkswagen,austin,1
Volkswagen,1983,2
Volkswagen,1981 1994,2
Volkswagen,driver ref,1
Volkswagen,polo s practicality,1
Volkswagen,1994,3
Volkswagen,1994 2001,1
Volkswagen,polo driver ref,1
Volkswagen,1981,2
Volkswagen,1988,1
Volkswagen,volkswagen corrado corrado analogous volkswagen,1
Volkswagen,1992,2
Volkswagen,2008 17,1
Volkswagen,12 october 2017,1
Volkswagen,15084,1
Volkswagen,1991 1999,1
Volkswagen,year 1992,1
Volkswagen,1993,1
Volkswagen,2002,8
Volkswagen,2003,7
Volkswagen,feb 2003,2
Volkswagen,12 july 2010,1
Volkswagen,20110614094520,1
Volkswagen,ltv,1
Volkswagen,june 2011,1
Volkswagen,1995,1
Volkswagen,sharan sharan,1
Volkswagen,2011,13
Volkswagen,january 2015 date,1
Volkswagen,20150104171105,1
Volkswagen,mk4 golf mk4,1
Volkswagen,1997,1
Volkswagen,1999,6
Volkswagen,volkswagen group volkswagen,1
Volkswagen,koda octavia,1
Volkswagen,polo polo small,1
Volkswagen,3 litre,1
Volkswagen,100,5
Volkswagen,285981,2
Volkswagen,january 2015,1
Volkswagen,20150104162606,1
Volkswagen,2000,6
Volkswagen,1 km,1
Volkswagen,118tsi,1
Volkswagen,03 01,1
Volkswagen,fifth,2
Volkswagen,a5 volkswagen,1
Volkswagen,sixth,1
Volkswagen,insignia,1
Volkswagen,jetta a6,1
Volkswagen,octavia,3
Volkswagen,mpv,4
Volkswagen,0,9
Volkswagen,2006 sixth,1
Volkswagen,2005,6
Volkswagen,bernhard s volkswagen,1
Volkswagen,2008,5
Volkswagen,november 2006,1
Volkswagen,bernd,1
Volkswagen,martin winterkorn,1
Volkswagen,2007,15
Volkswagen,1 4,2
Volkswagen,224,1
Volkswagen,fiscal 2006,1
Volkswagen,s north american,1
Volkswagen,235,1
Volkswagen,140 vehicle 4,1
Volkswagen,9 percent,1
Volkswagen,manufacturer s sale,1
Volkswagen,wolfsburg germany,1
Volkswagen,mexico golfs,1
Volkswagen,1989 1998,1
Volkswagen,brazilian factory curitiba golfs,1
Volkswagen,1989,2
Volkswagen,volkswagen s new,1
Volkswagen,25 000,1
Volkswagen,2013,9
Volkswagen,seventh,2
Volkswagen,daimler ag,1
Volkswagen,mercedes benz volkswagen company,1
Volkswagen,united states environmental,3
Volkswagen,20station,1
Volkswagen,srchtyp newdslcar,1
Volkswagen,year 2012,1
Volkswagen,20130117191226,1
Volkswagen,2c,3
Volkswagen,20upscale,1
Volkswagen,20luxury,1
Volkswagen,2fsporty,1
Volkswagen,srchtyp,1
Volkswagen,8th tdi,1
Volkswagen,tdi golf tdi,1
Volkswagen,tdi,2
Volkswagen,1996 2006,1
Volkswagen,december 2012,1
Volkswagen,volkswagen s warranty volkswagen,1
Volkswagen,q7,4
Volkswagen,20 july 2006,1
Volkswagen,t5 united states,1
Volkswagen,lack van north,1
Volkswagen,september 2006,1
Volkswagen,china city,1
Volkswagen,mk4 mk4 golf,1
Volkswagen,brazilian,17
Volkswagen,mk4 volkswagen,1
Volkswagen,volkswagen s,1
Volkswagen,2006 2010,1
Volkswagen,3c,2
Volkswagen,tennessee,2
Volkswagen,900 nbsp million,1
Volkswagen,2015 04,2
Volkswagen,07,4
Volkswagen,chris bruce,1
Volkswagen,date 7 april 2015,1
Volkswagen,20150924123140,1
Volkswagen,1 litre,1
Volkswagen,795,1
Volkswagen,nbsp kg volkswagen,1
Volkswagen,late 2016,1
Volkswagen,ref boston cite news,1
Volkswagen,1st car,2
Volkswagen,88,3
Volkswagen,1st car plant,1
Volkswagen,bloomberg news newspaper,1
Volkswagen,boston,1
Volkswagen,16 july 2008,1
Volkswagen,20110628231631,1
Volkswagen,bloomberg news ref ref,1
Volkswagen,2014,7
Volkswagen,14,4
Volkswagen,2 000,1
Volkswagen,20140808045957,1
Volkswagen,august 2014,1
Volkswagen,september 2016,3
Volkswagen,israeli,1
Volkswagen,20160916050037,1
Volkswagen,16 september 2016,1
Volkswagen,focus electric vehicle file volkswagen,1
Volkswagen,0779,1
Volkswagen,2025,7
Volkswagen,20 25 percent,1
Volkswagen,yearly,1
Volkswagen,2 3 million,1
Volkswagen,evs ref cite news,1
Volkswagen,september,1
Volkswagen,2030,2
Volkswagen,20 nbsp billion,1
Volkswagen,50 nbsp billion,1
Volkswagen,ref bloomberg,1
Volkswagen,300,3
Volkswagen,09 11,2
Volkswagen,date 11 september,1
Volkswagen,20171011232755,1
Volkswagen,bloomberg,2
Volkswagen,https arstechnica,1
Volkswagen,03,1
Volkswagen,2021,13
Volkswagen,1047461,1
Volkswagen,20190918110418,1
Volkswagen,1047461 3128844,1
Volkswagen,september 2018,2
Volkswagen,a5 beetle,1
Volkswagen,20190717002948,1
Volkswagen,17 july 2019,3
Volkswagen,100 million,1
Volkswagen,silicon valley,1
Volkswagen,representation board ref,1
Volkswagen,20200402224536,1
Volkswagen,february 2019,3
Volkswagen,july 2019,3
Volkswagen,s jetta,1
Volkswagen,90 000 yuan,1
Volkswagen,vws,1
Volkswagen,90000 yuan,1
Volkswagen,2020,36
Volkswagen,china volkswagen s joint,1
Volkswagen,faw,1
Volkswagen,26,15
Volkswagen,20190226210604,1
Volkswagen,september 2019,1
Volkswagen,frankfurt,3
Volkswagen,09,3
Volkswagen,david grossman,1
Volkswagen,ref cite news,2
