Title,POS Type,POS,Frequency
Bill Gates,Verb,ref,337
Bill Gates,Verb,live,77
Bill Gates,Verb,com,50
Bill Gates,Verb,cite,23
Bill Gates,Verb,include,20
Bill Gates,Adjective,dead,44
Bill Gates,Adjective,rich,37
Bill Gates,Adjective,org,24
Bill Gates,Adjective,new,20
Bill Gates,Adjective,global,20
Cristiano Ronaldo,Verb,ref,755
Cristiano Ronaldo,Verb,com,78
Cristiano Ronaldo,Verb,cristiano,74
Cristiano Ronaldo,Verb,ronaldo,58
Cristiano Ronaldo,Verb,play,46
Cristiano Ronaldo,Adjective,real,206
Cristiano Ronaldo,Adjective,portugal,153
Cristiano Ronaldo,Adjective,final,140
Cristiano Ronaldo,Adjective,good,95
Cristiano Ronaldo,Adjective,ronaldo,89
Lionel Messi,Verb,ref,803
Lionel Messi,Verb,com,97
Lionel Messi,Verb,cite,59
Lionel Messi,Verb,win,47
Lionel Messi,Verb,barcelona,46
Lionel Messi,Adjective,final,160
Lionel Messi,Adjective,good,120
Lionel Messi,Adjective,second,85
Lionel Messi,Adjective,dead,47
Lionel Messi,Adjective,international,43
Serena Williams,Verb,ref,498
Serena Williams,Verb,win,96
Serena Williams,Verb,lose,91
Serena Williams,Verb,set,89
Serena Williams,Verb,com,73
Serena Williams,Adjective,open,662
Serena Williams,Adjective,single,331
Serena Williams,Adjective,final,180
Serena Williams,Adjective,australian,178
Serena Williams,Adjective,double,156
Brad Pitt,Verb,ref,283
Brad Pitt,Verb,live,167
Brad Pitt,Verb,brad,52
Brad Pitt,Verb,com,47
Brad Pitt,Verb,receive,28
Brad Pitt,Adjective,good,73
Brad Pitt,Adjective,dead,45
Brad Pitt,Adjective,golden,31
Brad Pitt,Adjective,metacritic,22
Brad Pitt,Adjective,big,20
Selena Gomez,Verb,ref,448
Selena Gomez,Verb,com,72
Selena Gomez,Verb,want,27
Selena Gomez,Verb,live,24
Selena Gomez,Verb,tell,24
Selena Gomez,Adjective,new,90
Selena Gomez,Adjective,dead,71
Selena Gomez,Adjective,single,65
Selena Gomez,Adjective,hot,30
Selena Gomez,Adjective,second,29
Google,Verb,ref,435
Google,Verb,live,222
Google,Verb,com,56
Google,Verb,cite,32
Google,Verb,include,29
Google,Adjective,new,41
Google,Adjective,big,30
Google,Adjective,antitrust,30
Google,Adjective,good,30
Google,Adjective,global,29
Microsoft,Verb,ref,280
Microsoft,Verb,live,148
Microsoft,Verb,com,60
Microsoft,Verb,buy,22
Microsoft,Verb,announce,20
Microsoft,Adjective,new,69
Microsoft,Adjective,dead,39
Microsoft,Adjective,open,39
Microsoft,Adjective,international,18
Microsoft,Adjective,corporate,17
